Unit,Module,Title,Subheaders,Paragraph,Generated Question,Answer_generated
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",One hot encoding is a process by which categorical variables are converted into a form that could be provided to a machine learning algorithm to make accurate predictions. This technique replaces categorical variables with different Boolean variables that indicate whether or not a category of the variable is part of the observation. Those Boolean variables are called dummy variables.,What are the Boolean variables called?,Dummy variables
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",One hot encoding is easy to implement; it will retain all information of the categorical variable. This method does not add information that can make a variable more predictive.,What is one hot encoding easy to implement?,It will retain all information of the categorical variable
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",One hot encoding is easy to implement; it will retain all information of the categorical variable. This method does not add information that can make a variable more predictive.,What does this method do?,No
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","Assume that a categorical variable education with labels less than high school and high school. We can generate the Boolean variable chigh school,d which becomes one if the person has high school or 0 if the person has less than high school.",What is a categorical variable education with labels less than high school and high school?,Assume
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","Assume that a categorical variable education with labels less than high school and high school. We can generate the Boolean variable chigh school,d which becomes one if the person has high school or 0 if the person has less than high school.","What is the Boolean variable chigh school,d which becomes one if the person has what?",High school
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","When you have a variable with multiple categories, one-hot encoding might increase the dimensionality of your data. The binary encoding method can be used to create a smaller number of variables without losing information.",What method can be used to create a smaller number of variables without losing information?,Binary encoding
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","When you have a variable with multiple categories, one-hot encoding might increase the dimensionality of your data. The binary encoding method can be used to create a smaller number of variables without losing information.",What type of encoding can increase dimensionality of your data?,One-hot
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","When you have ordinal data that is useful to your analytic solution, you can transform those features using ordinal encoding. Here we convert string labels to integer values. If you have an ordinal variable with string values that are satisfied, dissatisfied, highly satisfied, highly dissatisfied, not applicable, and somewhat satisfied, ordinal feature encoding will map the values to a corresponding integer. As you can see in the table below, all values are not integers.",What can you do when you have analytic data that is useful to your solution?,Transform those features into integer values.
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","When you have ordinal data that is useful to your analytic solution, you can transform those features using ordinal encoding. Here we convert string labels to integer values. If you have an ordinal variable with string values that are satisfied, dissatisfied, highly satisfied, highly dissatisfied, not applicable, and somewhat satisfied, ordinal feature encoding will map the values to a corresponding integer. As you can see in the table below, all values are not integers.",What do we convert string labels to?,Integer values
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","When you have ordinal data that is useful to your analytic solution, you can transform those features using ordinal encoding. Here we convert string labels to integer values. If you have an ordinal variable with string values that are satisfied, dissatisfied, highly satisfied, highly dissatisfied, not applicable, and somewhat satisfied, ordinal feature encoding will map the values to a corresponding integer. As you can see in the table below, all values are not integers.","If you have a variable with string values that are satisfied, dissatisfied, highly satisfied, not applicable, and somewhat satisfied, what will encoding map the values?",An ordinal feature
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",Highly Satisfied,What type of people are highly satisfied with their services?,Forecast people
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",Highly Satisfied,What kind of person is highly satisfied?,Any kind of person
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",1,How many questions do you have?,1
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",1,What is the number of questions that you have answered?,1
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",Satisfied,What was Satisfied?,
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",Satisfied,What is Satisfaction?,It is the sign of Satisfaction.
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",2,How many questions do you have?,Two
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",Somewhat Satisfied,What was somewhat Satisfied?,
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",3,How many questions do you have?,3
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",Not Applicable,What is not applicable?,The above is not applicable.
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",Not Applicable,What is the name of the person who is not able to apply?,Janet
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",4,How many questions do you have?,4
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",Dissatisfied,What is the reason for the dissatisfaction?,The customer was unhappy because of the satisfaction.
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",Dissatisfied,What is a reason for a person to be unhappy with a job?,Unsatisfied job leads to a person being unhappy with a job.
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",5,How many questions do you have?,5
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",Highly Dissatisfied,What kind of dissatisfaction does a person feel is not satisfied with?,highly
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",Highly Dissatisfied,What type of person is unhappy with a job?,Highly Dissatisfied
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",6,How many questions do you have?,6
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","When you split features, the features become easier to bin, and this improves model performance. There are many ways of splitting features, and it depends on the variable. If your dataset contains the variable address, you might split the column by extracting the street address, city, state, and postal code. You run the risk of increasing dimensions; in this case, we employ techniques that assess the value of the extracted dimensions.",What happens when you split features?,The features become easier to bin
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","When you split features, the features become easier to bin, and this improves model performance. There are many ways of splitting features, and it depends on the variable. If your dataset contains the variable address, you might split the column by extracting the street address, city, state, and postal code. You run the risk of increasing dimensions; in this case, we employ techniques that assess the value of the extracted dimensions.",What does the variable address affect?,The way you split features
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","When you split features, the features become easier to bin, and this improves model performance. There are many ways of splitting features, and it depends on the variable. If your dataset contains the variable address, you might split the column by extracting the street address, city, state, and postal code. You run the risk of increasing dimensions; in this case, we employ techniques that assess the value of the extracted dimensions.",How do you run the risk of increasing dimensions?,
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","Some machine learning algorithms need to have scaled continuous features as model inputs. Scaling is not necessary for most algorithms, but it can make continuous features identical with respect to range.",What is not necessary for most algorithms?,Scaling
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","Some machine learning algorithms need to have scaled continuous features as model inputs. Scaling is not necessary for most algorithms, but it can make continuous features identical with respect to range.",Scaling can make continuous features identical with respect to what?,range
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","There are instances that require the use of scaled data, including algorithms that use gradient descent",What type of data is required to be scaled?,
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","There are instances that require the use of scaled data, including algorithms that use gradient descent",What algorithm uses gradient descent?,Scaled data
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","Neural Networks and Linear Regression are some of those examples. The data is scaled before being fed to the model. Algorithms like k-Nearest Neighbors, clustering analysis like k-means clustering, and other distance-based algorithms would need data that is scaled.",What are some examples of Neural Networks and Linear Regression?,
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","Neural Networks and Linear Regression are some of those examples. The data is scaled before being fed to the model. Algorithms like k-Nearest Neighbors, clustering analysis like k-means clustering, and other distance-based algorithms would need data that is scaled.",What type of algorithms would need data that is scaled before being fed to?,Distance-based algorithms
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",Quick thought: How about tree-based algorithms like decision trees and random forests? They are not affected as they are not distance-based.,What type of algorithms are not affected by tree-based algorithms?,Decision trees and random forests
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",Quick thought: How about tree-based algorithms like decision trees and random forests? They are not affected as they are not distance-based.,What is the name of the algorithm that is not based on distances?,Tree based algorithm
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","Normalization. This technique involves values ranging between 0 and 1. Prior to normalization, all outliers in the dataset should be handled.","What technique involves values between 0 and 1. Before normalization, what should be handled before normalization?",Outliers
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","Standardization. Also known as z-score normalization, it is useful for feature engineering in logistic regression, artificial neural networks, and support vector machine tasks.",What is standardization also known as?,z-score normalization
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.","Standardization. Also known as z-score normalization, it is useful for feature engineering in logistic regression, artificial neural networks, and support vector machine tasks.",What is z-score normalization useful for?,"feature engineering in logistic regression, artificial neural networks, and support vector machine tasks"
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model.",Reading: Data Preprocessing in scikit-learn.,Reading: Data Preprocessing in scikit-learn?,
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,Algorithms represent data and relations between data items using a variety of abstract data types. The most commonly used abstract data types are the following:,What do algorithms represent?,Data and relations between data items
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,Algorithms represent data and relations between data items using a variety of abstract data types. The most commonly used abstract data types are the following:,What are the most commonly used abstract data types?,:
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,"Sequences: Sequences, also called one-dimensional arrays. Many programming languages and lists in Python. Typically arrays are fixed size. Items are identified by positions or indices, starting with 0. Given an index, any item can be accessed in constant time; old items can be replaced with new values similarly. Languages like Python allow the extension of an array if one needs to add new values to the end of the array. Further, Python lists can hold data values or different underlying types.",What is the term for one-dimensional arrays?,Sequences
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,"Sequences: Sequences, also called one-dimensional arrays. Many programming languages and lists in Python. Typically arrays are fixed size. Items are identified by positions or indices, starting with 0. Given an index, any item can be accessed in constant time; old items can be replaced with new values similarly. Languages like Python allow the extension of an array if one needs to add new values to the end of the array. Further, Python lists can hold data values or different underlying types.",What type of arrays are typically fixed size?,one-dimensional
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,"Sequences: Sequences, also called one-dimensional arrays. Many programming languages and lists in Python. Typically arrays are fixed size. Items are identified by positions or indices, starting with 0. Given an index, any item can be accessed in constant time; old items can be replaced with new values similarly. Languages like Python allow the extension of an array if one needs to add new values to the end of the array. Further, Python lists can hold data values or different underlying types.",How are items identified by positions or indices starting with?,0.
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,"Sequences: Sequences, also called one-dimensional arrays. Many programming languages and lists in Python. Typically arrays are fixed size. Items are identified by positions or indices, starting with 0. Given an index, any item can be accessed in constant time; old items can be replaced with new values similarly. Languages like Python allow the extension of an array if one needs to add new values to the end of the array. Further, Python lists can hold data values or different underlying types.",When can old items be replaced with new values?,At the end of an array
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,"Sets: Sets let one represent the equivalent of finite sets in mathematics, with elements coming from some domain where equality between the elements in the domain is defined in some way. The operations on sets are the typical operations one does on mathematical sets:",What is the equivalent of finite sets in mathematics?,Sets
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,"Sets: Sets let one represent the equivalent of finite sets in mathematics, with elements coming from some domain where equality between the elements in the domain is defined in some way. The operations on sets are the typical operations one does on mathematical sets:",What are the typical operations on sets?,
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,"Intersection and union of sets,",What is the intersection and union of sets?,
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,"Intersection and union of sets,",What does the union and intersection of sets mean?,They mean the union and intersection of sets mean the union and intersection of sets mean the union and
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,"Subtraction of one set from another set,","Subtraction of one set from another set, subtraction of another set from what set?",another set
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,"Inserting elements into a set or removing an element from a set,",What does removing an element from a set do?,Simplifies the removal.
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,"Checking if a given element of the domain is a member of a set,",What does checking if a given element of the domain is a member of a set?,Yes.
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,Computing the size of a set.,What is the size of a set?,.
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,"In ordered sets, the elements are assumed to be orderable based on a \\(<\\) relationship. With sorted sets, we can also do operations such as",What is assumed to be orderable in order sets?,Elements
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,"In ordered sets, the elements are assumed to be orderable based on a \\(<\\) relationship. With sorted sets, we can also do operations such as",What does sorted sets mean?,They mean they are orderable based on a () relationship.
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,"Find the \\(i^{th}\\) smallest element of a set,",What is the smallest element of a set?,i(i)th
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,Find the ordered position in the set of a specific value \\(x\\) (same as finding the number of elements in the set less than a given \\(x\\)).,What is the order position in the set of a specific value?,(x)
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,Find the ordered position in the set of a specific value \\(x\\) (same as finding the number of elements in the set less than a given \\(x\\)).,What does finding the number of elements in a set less than a given value mean?,"Similarly, finding the number of elements in a set less than a given value means"
Collecting and Understanding Data,Data Structures and Algorithms,Fundamental Abstract Data Types,,"Tables: Tables are an extension of sets. Each element in a table \\((k, v)\\) consists of a key \\(k\\) and an associated value \\(v\\). Key values in a table should be unique. Set operations like union, intersection, and difference on tables are done based on the key values with some provisions for conflicts. But one mainly uses tables typically for finding the value \\(v\\) associated with a key. Similarly, tables can be ordered based on a key if there is a need.",Tables are an extension of what?,Sets
