,Unit,Module,Title,Subheaders,Paragraph,Generated Question,Key Concepts,Information Score
588,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"Chemical bonding is the force of attraction that holds two or more atoms                    together. Chemical bonding is the result of atoms gaining, losing, or sharing                    valence electrons. Ionic bondselectrostatic forces of attraction between the oppositely charged ions of an ionic compound form from the transfer of electrons from one atom                    to another to form positively and negatively charged ions. Covalent bondsbond formed when electrons are shared between atoms form                    when two or more atoms share electrons. But why do atoms have this tendency to                    gain, lose, or share electrons to form compounds? The answer has to do with the                    stability of electron configurations. The most stable arrangement of electrons                    is when the outer shell is full. With the exception of the  first shell which                    is full with two electrons, all of the other shells are full with eight                    electrons. It is important to recognize that when the outer shell is full this                    corresponds to the electron configuration of a noble gas. From this general                    observation comes a very important concept of chemical bonding the Octet Ruleguideline that states main group atoms will form structures in which eight valence electrons interact with each nucleus, counting bonding electrons as interacting with both atoms connected by the bond.                    Main group elements will gain, lose, or share electrons in order to obtain the                    electron configuration of a noble gas.",What is ionic bondselectrostatic forces of attraction between the oppositely charged ions of a compound form from the transfer of electrons from one atom to another to form positively and negatively charged?,"['concept', 'gas', 'compound', 'gain', 'stable', 'stability', 'structure', 'configuration', 'force', 'ionic', 'noble', 'bondsbond', 'electron', 'observation', 'arrangement', 'outer', 'shell', 'important', 'atom', 'bondselectrostatic', 'transfer', 'exception', 'connect', 'tendency', 'state', 'count', 'valence', 'charge', 'element', 'attraction', 'order', 'share', 'general', 'nucleus', 'covalent', 'come', 'main', 'answer', 'form', 'group', 'bonding', 'interact', 'chemical', 'recognize', 'hold', 'obtain', 'result', 'lose', 'ion', 'correspond', 'bond']",0.8846153846153842
589,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"Chemical bonding is the force of attraction that holds two or more atoms                    together. Chemical bonding is the result of atoms gaining, losing, or sharing                    valence electrons. Ionic bondselectrostatic forces of attraction between the oppositely charged ions of an ionic compound form from the transfer of electrons from one atom                    to another to form positively and negatively charged ions. Covalent bondsbond formed when electrons are shared between atoms form                    when two or more atoms share electrons. But why do atoms have this tendency to                    gain, lose, or share electrons to form compounds? The answer has to do with the                    stability of electron configurations. The most stable arrangement of electrons                    is when the outer shell is full. With the exception of the  first shell which                    is full with two electrons, all of the other shells are full with eight                    electrons. It is important to recognize that when the outer shell is full this                    corresponds to the electron configuration of a noble gas. From this general                    observation comes a very important concept of chemical bonding the Octet Ruleguideline that states main group atoms will form structures in which eight valence electrons interact with each nucleus, counting bonding electrons as interacting with both atoms connected by the bond.                    Main group elements will gain, lose, or share electrons in order to obtain the                    electron configuration of a noble gas.",How many electrons are all of the other shells full with?,"['concept', 'gas', 'compound', 'gain', 'stable', 'stability', 'structure', 'configuration', 'force', 'ionic', 'noble', 'bondsbond', 'electron', 'observation', 'arrangement', 'outer', 'shell', 'important', 'atom', 'bondselectrostatic', 'transfer', 'exception', 'connect', 'tendency', 'state', 'count', 'valence', 'charge', 'element', 'attraction', 'order', 'share', 'general', 'nucleus', 'covalent', 'come', 'main', 'answer', 'form', 'group', 'bonding', 'interact', 'chemical', 'recognize', 'hold', 'obtain', 'result', 'lose', 'ion', 'correspond', 'bond']",0.0
590,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"Chemical bonding is the force of attraction that holds two or more atoms                    together. Chemical bonding is the result of atoms gaining, losing, or sharing                    valence electrons. Ionic bondselectrostatic forces of attraction between the oppositely charged ions of an ionic compound form from the transfer of electrons from one atom                    to another to form positively and negatively charged ions. Covalent bondsbond formed when electrons are shared between atoms form                    when two or more atoms share electrons. But why do atoms have this tendency to                    gain, lose, or share electrons to form compounds? The answer has to do with the                    stability of electron configurations. The most stable arrangement of electrons                    is when the outer shell is full. With the exception of the  first shell which                    is full with two electrons, all of the other shells are full with eight                    electrons. It is important to recognize that when the outer shell is full this                    corresponds to the electron configuration of a noble gas. From this general                    observation comes a very important concept of chemical bonding the Octet Ruleguideline that states main group atoms will form structures in which eight valence electrons interact with each nucleus, counting bonding electrons as interacting with both atoms connected by the bond.                    Main group elements will gain, lose, or share electrons in order to obtain the                    electron configuration of a noble gas.","The Octet Ruleguideline states that main group elements will gain, lose, or share electrons in order to obtain what?","['concept', 'gas', 'compound', 'gain', 'stable', 'stability', 'structure', 'configuration', 'force', 'ionic', 'noble', 'bondsbond', 'electron', 'observation', 'arrangement', 'outer', 'shell', 'important', 'atom', 'bondselectrostatic', 'transfer', 'exception', 'connect', 'tendency', 'state', 'count', 'valence', 'charge', 'element', 'attraction', 'order', 'share', 'general', 'nucleus', 'covalent', 'come', 'main', 'answer', 'form', 'group', 'bonding', 'interact', 'chemical', 'recognize', 'hold', 'obtain', 'result', 'lose', 'ion', 'correspond', 'bond']",0.0
591,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,electrostatic forces of attraction between the oppositely charged ions of an ionic compound,What are the electrostatic forces of attraction between the oppositely charged ions of an ionic compound?,"['charge', 'compound', 'electrostatic', 'attraction', 'force', 'ionic', 'ion']",0.0
592,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,bond formed when electrons are shared between atoms,What is the bond formed when electrons are shared between atoms?,"['form', 'atom', 'share', 'electron', 'bond']",0.0
593,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"guideline that states main group atoms will form structures in which eight valence electrons interact with each nucleus, counting bonding electrons as interacting with both atoms connected by the bond",How many valence electrons interact with each nucleus?,"['group', 'form', 'count', 'interact', 'guideline', 'structure', 'bond', 'atom', 'nucleus', 'connect', 'electron', 'main', 'state', 'valence']",0.0
594,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"guideline that states main group atoms will form structures in which eight valence electrons interact with each nucleus, counting bonding electrons as interacting with both atoms connected by the bond",What is a guideline that states that the main group atoms will form structures in which a group molecule interacts with each other?,"['group', 'form', 'count', 'interact', 'guideline', 'structure', 'bond', 'atom', 'nucleus', 'connect', 'electron', 'main', 'state', 'valence']",0.25
595,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"guideline that states main group atoms will form structures in which eight valence electrons interact with each nucleus, counting bonding electrons as interacting with both atoms connected by the bond",How are bonding electrons interacting with each atom connected by the bond?,"['group', 'form', 'count', 'interact', 'guideline', 'structure', 'bond', 'atom', 'nucleus', 'connect', 'electron', 'main', 'state', 'valence']",0.0
596,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"Previously, we discussed the basic concepts of ionic and covalent bonding. In                    this unit, we will look at chemical bonding in more detail, beginning here with                    ionic bonding.",What are the basic concepts of ionic and covalent bonding?,"['unit', 'concept', 'bonding', 'chemical', 'basic', 'look', 'begin', 'ionic', 'detail', 'discuss', 'covalent']",0.0
597,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"Previously, we discussed the basic concepts of ionic and covalent bonding. In                    this unit, we will look at chemical bonding in more detail, beginning here with                    ionic bonding.",What will be discussed in this unit?,"['unit', 'concept', 'bonding', 'chemical', 'basic', 'look', 'begin', 'ionic', 'detail', 'discuss', 'covalent']",0.0
598,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"Previously, we discussed the basic concepts of ionic and covalent bonding. In                    this unit, we will look at chemical bonding in more detail, beginning here with                    ionic bonding.",How will chemical bonding begin?,"['unit', 'concept', 'bonding', 'chemical', 'basic', 'look', 'begin', 'ionic', 'detail', 'discuss', 'covalent']",0.0
599,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"As you have learned, ions are atoms or molecules bearing an electrical charge. A                    cation (a positive ion) forms when a neutral atom loses one or more electrons                    from its valence shell, and an anion (a negative ion) forms when a neutral atom                    gains one or more electrons in its valence shell.",What is a positive ion?,"['molecule', 'charge', 'form', 'shell', 'gain', 'cation', 'negative', 'electrical', 'atom', 'bear', 'learn', 'valence', 'neutral', 'lose', 'ion', 'electron', 'anion', 'positive']",2.1999999999999997
600,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"As you have learned, ions are atoms or molecules bearing an electrical charge. A                    cation (a positive ion) forms when a neutral atom loses one or more electrons                    from its valence shell, and an anion (a negative ion) forms when a neutral atom                    gains one or more electrons in its valence shell.",What is an anion called when a neutral atom gains one or more electrons?,"['molecule', 'charge', 'form', 'shell', 'gain', 'cation', 'negative', 'electrical', 'atom', 'bear', 'learn', 'valence', 'neutral', 'lose', 'ion', 'electron', 'anion', 'positive']",0.7857142857142855
601,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"Compounds composed of ions are called ionic compounds (or salts), and their                    constituent ions are held together by ionic bondselectrostatic forces of attraction between the oppositely charged ions of an ionic compound: electrostatic forces of                    attraction between oppositely charged cations and anions. The properties of                    ionic compounds shed some light on the nature of ionic bonds. Ionic solids                    exhibit a crystalline structure and tend to be rigid and brittle; they also tend                    to have high melting and boiling points, which suggests that ionic bonds are                    very strong. Ionic solids are also poor conductors of electricity for the same                    reasonthe strength of ionic bonds prevents ions from moving freely in the solid                    state. Most ionic solids, however, dissolve readily in water. Once dissolved or                    melted, ionic compounds are excellent conductors of electricity and heat because                    the ions can move about freely.",What are ionic compounds called?,"['compound', 'reasonthe', 'structure', 'force', 'crystalline', 'constituent', 'ionic', 'light', 'point', 'rigid', 'dissolve', 'compose', 'exhibit', 'electrostatic', 'conductor', 'strength', 'poor', 'bondselectrostatic', 'nature', 'brittle', 'suggest', 'melt', 'shed', 'state', 'charge', 'electricity', 'melting', 'salt', 'attraction', 'heat', 'boiling', 'anion', 'water', 'prevent', 'solid', 'cation', 'hold', 'excellent', 'tend', 'move', 'call', 'strong', 'ion', 'high', 'property', 'bond']",0.0
602,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"Compounds composed of ions are called ionic compounds (or salts), and their                    constituent ions are held together by ionic bondselectrostatic forces of attraction between the oppositely charged ions of an ionic compound: electrostatic forces of                    attraction between oppositely charged cations and anions. The properties of                    ionic compounds shed some light on the nature of ionic bonds. Ionic solids                    exhibit a crystalline structure and tend to be rigid and brittle; they also tend                    to have high melting and boiling points, which suggests that ionic bonds are                    very strong. Ionic solids are also poor conductors of electricity for the same                    reasonthe strength of ionic bonds prevents ions from moving freely in the solid                    state. Most ionic solids, however, dissolve readily in water. Once dissolved or                    melted, ionic compounds are excellent conductors of electricity and heat because                    the ions can move about freely.",What is the name of a compound that is held together by electrostatic forces of attraction between oppositely charged cations and anions?,"['compound', 'reasonthe', 'structure', 'force', 'crystalline', 'constituent', 'ionic', 'light', 'point', 'rigid', 'dissolve', 'compose', 'exhibit', 'electrostatic', 'conductor', 'strength', 'poor', 'bondselectrostatic', 'nature', 'brittle', 'suggest', 'melt', 'shed', 'state', 'charge', 'electricity', 'melting', 'salt', 'attraction', 'heat', 'boiling', 'anion', 'water', 'prevent', 'solid', 'cation', 'hold', 'excellent', 'tend', 'move', 'call', 'strong', 'ion', 'high', 'property', 'bond']",0.7000000000000001
603,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"Compounds composed of ions are called ionic compounds (or salts), and their                    constituent ions are held together by ionic bondselectrostatic forces of attraction between the oppositely charged ions of an ionic compound: electrostatic forces of                    attraction between oppositely charged cations and anions. The properties of                    ionic compounds shed some light on the nature of ionic bonds. Ionic solids                    exhibit a crystalline structure and tend to be rigid and brittle; they also tend                    to have high melting and boiling points, which suggests that ionic bonds are                    very strong. Ionic solids are also poor conductors of electricity for the same                    reasonthe strength of ionic bonds prevents ions from moving freely in the solid                    state. Most ionic solids, however, dissolve readily in water. Once dissolved or                    melted, ionic compounds are excellent conductors of electricity and heat because                    the ions can move about freely.",Ionic solids exhibit a crystalline structure and tend to be rigid and brittle?,"['compound', 'reasonthe', 'structure', 'force', 'crystalline', 'constituent', 'ionic', 'light', 'point', 'rigid', 'dissolve', 'compose', 'exhibit', 'electrostatic', 'conductor', 'strength', 'poor', 'bondselectrostatic', 'nature', 'brittle', 'suggest', 'melt', 'shed', 'state', 'charge', 'electricity', 'melting', 'salt', 'attraction', 'heat', 'boiling', 'anion', 'water', 'prevent', 'solid', 'cation', 'hold', 'excellent', 'tend', 'move', 'call', 'strong', 'ion', 'high', 'property', 'bond']",1.1666666666666665
604,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"Compounds composed of ions are called ionic compounds (or salts), and their                    constituent ions are held together by ionic bondselectrostatic forces of attraction between the oppositely charged ions of an ionic compound: electrostatic forces of                    attraction between oppositely charged cations and anions. The properties of                    ionic compounds shed some light on the nature of ionic bonds. Ionic solids                    exhibit a crystalline structure and tend to be rigid and brittle; they also tend                    to have high melting and boiling points, which suggests that ionic bonds are                    very strong. Ionic solids are also poor conductors of electricity for the same                    reasonthe strength of ionic bonds prevents ions from moving freely in the solid                    state. Most ionic solids, however, dissolve readily in water. Once dissolved or                    melted, ionic compounds are excellent conductors of electricity and heat because                    the ions can move about freely.",The strength of ion bonds prevents ions from moving what?,"['compound', 'reasonthe', 'structure', 'force', 'crystalline', 'constituent', 'ionic', 'light', 'point', 'rigid', 'dissolve', 'compose', 'exhibit', 'electrostatic', 'conductor', 'strength', 'poor', 'bondselectrostatic', 'nature', 'brittle', 'suggest', 'melt', 'shed', 'state', 'charge', 'electricity', 'melting', 'salt', 'attraction', 'heat', 'boiling', 'anion', 'water', 'prevent', 'solid', 'cation', 'hold', 'excellent', 'tend', 'move', 'call', 'strong', 'ion', 'high', 'property', 'bond']",0.0
605,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,electrostatic forces of attraction between the oppositely charged ions of an ionic compound,What are the electrostatic forces of attraction between the oppositely charged ions of an ionic compound?,"['charge', 'compound', 'electrostatic', 'attraction', 'force', 'ionic', 'ion']",0.0
606,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"Neutral atoms and their associated ions have very different physical and chemical                    properties. Sodium atoms form sodium metal, a soft, silvery-white metal that                    burns vigorously in air and reacts explosively with water. Chlorine atoms form                    chlorine gas, Cl2, a yellow-green gas that is extremely corrosive to                    most metals and very poisonous to animals and plants. The vigorous reaction                    between the elements sodium and chlorine forms the white, crystalline compound                    sodium chloride, common table salt, which contains sodium cations and chloride                    anions. The compound composed of these ions exhibits properties entirely                    different from the properties of the elements sodium and chlorine. Chlorine is                    poisonous, but sodium chloride is essential to life; sodium atoms react                    vigorously with water, but sodium chloride simply dissolves in water.","What is a soft, silvery-white metal that burns vigorously in air and reacts explosively with water?","['metal', 'gas', 'compound', 'essential', 'contain', 'common', 'sodium', 'crystalline', 'white', 'air', 'cl2', 'dissolve', 'compose', 'exhibit', 'life', 'associate', 'burn', 'animal', 'reaction', 'different', 'atom', 'poisonous', 'green', 'corrosive', 'table', 'element', 'plant', 'salt', 'vigorous', 'react', 'chloride', 'physical', 'anion', 'water', 'form', 'yellow', 'chlorine', 'chemical', 'cation', 'soft', 'silvery', 'neutral', 'ion', 'property']",1.25
607,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"Neutral atoms and their associated ions have very different physical and chemical                    properties. Sodium atoms form sodium metal, a soft, silvery-white metal that                    burns vigorously in air and reacts explosively with water. Chlorine atoms form                    chlorine gas, Cl2, a yellow-green gas that is extremely corrosive to                    most metals and very poisonous to animals and plants. The vigorous reaction                    between the elements sodium and chlorine forms the white, crystalline compound                    sodium chloride, common table salt, which contains sodium cations and chloride                    anions. The compound composed of these ions exhibits properties entirely                    different from the properties of the elements sodium and chlorine. Chlorine is                    poisonous, but sodium chloride is essential to life; sodium atoms react                    vigorously with water, but sodium chloride simply dissolves in water.",What is the yellow-green gas that is extremely corrosive to most metals?,"['metal', 'gas', 'compound', 'essential', 'contain', 'common', 'sodium', 'crystalline', 'white', 'air', 'cl2', 'dissolve', 'compose', 'exhibit', 'life', 'associate', 'burn', 'animal', 'reaction', 'different', 'atom', 'poisonous', 'green', 'corrosive', 'table', 'element', 'plant', 'salt', 'vigorous', 'react', 'chloride', 'physical', 'anion', 'water', 'form', 'yellow', 'chlorine', 'chemical', 'cation', 'soft', 'silvery', 'neutral', 'ion', 'property']",0.0
608,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"Neutral atoms and their associated ions have very different physical and chemical                    properties. Sodium atoms form sodium metal, a soft, silvery-white metal that                    burns vigorously in air and reacts explosively with water. Chlorine atoms form                    chlorine gas, Cl2, a yellow-green gas that is extremely corrosive to                    most metals and very poisonous to animals and plants. The vigorous reaction                    between the elements sodium and chlorine forms the white, crystalline compound                    sodium chloride, common table salt, which contains sodium cations and chloride                    anions. The compound composed of these ions exhibits properties entirely                    different from the properties of the elements sodium and chlorine. Chlorine is                    poisonous, but sodium chloride is essential to life; sodium atoms react                    vigorously with water, but sodium chloride simply dissolves in water.",The vigorous reaction between the elements sodium and chlorine forms what?,"['metal', 'gas', 'compound', 'essential', 'contain', 'common', 'sodium', 'crystalline', 'white', 'air', 'cl2', 'dissolve', 'compose', 'exhibit', 'life', 'associate', 'burn', 'animal', 'reaction', 'different', 'atom', 'poisonous', 'green', 'corrosive', 'table', 'element', 'plant', 'salt', 'vigorous', 'react', 'chloride', 'physical', 'anion', 'water', 'form', 'yellow', 'chlorine', 'chemical', 'cation', 'soft', 'silvery', 'neutral', 'ion', 'property']",0.0
609,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"Binary ionic compounds are composed of just two elements: a metal (which forms                    the cations) and a nonmetal (which forms the anions). For example, NaCl is a                    binary ionic compound. We can think about the formation of such compounds in                    terms of the periodic properties of the elements. Many metallic elements have                    relatively low ionization energies and lose electrons easily. The lower the IE                    the more easily the atom loses electrons and the more chemically reactive. The                    most chemically reactive metals are in the lower left of the periodic table.                    Nonmetal atoms have relatively high electron affinities and thus readily gain                    electrons lost by metal atoms, thereby filling their valence shells. The most                    chemically reactive nonmetals are found in the upper-right corner of the                    periodic table not including the noble gases. The noble gases have very high                    ionization energies and very low electron affinities. With only a few                    exceptions, the noble gases do not form chemical bonds and are extremely                    unreactive.",What is a metal that forms the cations?,"['metal', 'gas', 'compound', 'binary', 'gain', 'unreactive', 'nonmetal', 'ionic', 'noble', 'electron', 'compose', 'think', 'shell', 'formation', 'atom', 'ionization', 'example', 'include', 'exception', 'fill', 'metallic', 'table', 'right', 'valence', 'element', 'find', 'low', 'anion', 'form', 'periodic', 'cation', 'corner', 'energy', 'chemical', 'left', 'affinity', 'term', 'reactive', 'upper', 'lose', 'high', 'property', 'bond']",2.25
610,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"Binary ionic compounds are composed of just two elements: a metal (which forms                    the cations) and a nonmetal (which forms the anions). For example, NaCl is a                    binary ionic compound. We can think about the formation of such compounds in                    terms of the periodic properties of the elements. Many metallic elements have                    relatively low ionization energies and lose electrons easily. The lower the IE                    the more easily the atom loses electrons and the more chemically reactive. The                    most chemically reactive metals are in the lower left of the periodic table.                    Nonmetal atoms have relatively high electron affinities and thus readily gain                    electrons lost by metal atoms, thereby filling their valence shells. The most                    chemically reactive nonmetals are found in the upper-right corner of the                    periodic table not including the noble gases. The noble gases have very high                    ionization energies and very low electron affinities. With only a few                    exceptions, the noble gases do not form chemical bonds and are extremely                    unreactive.",What is NaCl?,"['metal', 'gas', 'compound', 'binary', 'gain', 'unreactive', 'nonmetal', 'ionic', 'noble', 'electron', 'compose', 'think', 'shell', 'formation', 'atom', 'ionization', 'example', 'include', 'exception', 'fill', 'metallic', 'table', 'right', 'valence', 'element', 'find', 'low', 'anion', 'form', 'periodic', 'cation', 'corner', 'energy', 'chemical', 'left', 'affinity', 'term', 'reactive', 'upper', 'lose', 'high', 'property', 'bond']",0.0
611,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"Binary ionic compounds are composed of just two elements: a metal (which forms                    the cations) and a nonmetal (which forms the anions). For example, NaCl is a                    binary ionic compound. We can think about the formation of such compounds in                    terms of the periodic properties of the elements. Many metallic elements have                    relatively low ionization energies and lose electrons easily. The lower the IE                    the more easily the atom loses electrons and the more chemically reactive. The                    most chemically reactive metals are in the lower left of the periodic table.                    Nonmetal atoms have relatively high electron affinities and thus readily gain                    electrons lost by metal atoms, thereby filling their valence shells. The most                    chemically reactive nonmetals are found in the upper-right corner of the                    periodic table not including the noble gases. The noble gases have very high                    ionization energies and very low electron affinities. With only a few                    exceptions, the noble gases do not form chemical bonds and are extremely                    unreactive.",How are the most chemically reactive metals found in the lower left of the periodic table?,"['metal', 'gas', 'compound', 'binary', 'gain', 'unreactive', 'nonmetal', 'ionic', 'noble', 'electron', 'compose', 'think', 'shell', 'formation', 'atom', 'ionization', 'example', 'include', 'exception', 'fill', 'metallic', 'table', 'right', 'valence', 'element', 'find', 'low', 'anion', 'form', 'periodic', 'cation', 'corner', 'energy', 'chemical', 'left', 'affinity', 'term', 'reactive', 'upper', 'lose', 'high', 'property', 'bond']",0.0
612,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"As all substances must be electrically neutral, the total number of positive                    charges on the cations of an ionic compound must equal the total number of                    negative charges on its anions. The formula of an ionic compound represents the                    simplest ratio of the numbers of ions necessary to give identical numbers of                    positive and negative charges. For example, the formula for aluminum oxide,                        Al2O3, indicates that this ionic compound contains two                    aluminum cations, Al3+, for every three oxide anions, O2                    [thus, (2  +3) + (3  ) = 0].",What does the formula of an ionic compound represent?,"['compound', 'contain', 'represent', 'simple', 'ionic', 'necessary', 'equal', 'negative', 'example', 'identical', 'number', 'aluminum', 'charge', '=', 'ratio', 'positive', 'anion', 'substance', 'indicate', '+3', 'total', 'oxide', 'cation', 'neutral', 'al3', 'ion', 'formula']",0.0
613,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"As all substances must be electrically neutral, the total number of positive                    charges on the cations of an ionic compound must equal the total number of                    negative charges on its anions. The formula of an ionic compound represents the                    simplest ratio of the numbers of ions necessary to give identical numbers of                    positive and negative charges. For example, the formula for aluminum oxide,                        Al2O3, indicates that this ionic compound contains two                    aluminum cations, Al3+, for every three oxide anions, O2                    [thus, (2  +3) + (3  ) = 0].",What is the formula for aluminum oxide?,"['compound', 'contain', 'represent', 'simple', 'ionic', 'necessary', 'equal', 'negative', 'example', 'identical', 'number', 'aluminum', 'charge', '=', 'ratio', 'positive', 'anion', 'substance', 'indicate', '+3', 'total', 'oxide', 'cation', 'neutral', 'al3', 'ion', 'formula']",0.0
614,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"As all substances must be electrically neutral, the total number of positive                    charges on the cations of an ionic compound must equal the total number of                    negative charges on its anions. The formula of an ionic compound represents the                    simplest ratio of the numbers of ions necessary to give identical numbers of                    positive and negative charges. For example, the formula for aluminum oxide,                        Al2O3, indicates that this ionic compound contains two                    aluminum cations, Al3+, for every three oxide anions, O2                    [thus, (2  +3) + (3  ) = 0].",How many aluminum cations does Al3+ contain?,"['compound', 'contain', 'represent', 'simple', 'ionic', 'necessary', 'equal', 'negative', 'example', 'identical', 'number', 'aluminum', 'charge', '=', 'ratio', 'positive', 'anion', 'substance', 'indicate', '+3', 'total', 'oxide', 'cation', 'neutral', 'al3', 'ion', 'formula']",0.0
615,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"It is important to note, however, that the formula for an ionic compound does not                    represent the physical arrangement of its ions. It is incorrect to refer to a                    sodium chloride (NaCl) cmoleculed because there is not a single ionic bond, per                    se, between any specific pair of sodium and chloride ions. The attractive forces                    between ions are isotropicthe same in all directionsmeaning that any                    particular ion is equally attracted to all of the nearby ions of opposite                    charge. This results in the ions arranging themselves into a tightly bound,                    three-dimensional lattice structure. Sodium chloride, for example, consists of a                    regular arrangement of equal numbers of Na+ cations and                        Cl anions.",What does the formula for an ionic compound not represent?,"['compound', 'cmolecule', 'represent', 'sodium', 'structure', 'lattice', 'force', 'consist', 'ionic', 'arrange', 'opposite', 'arrangement', 'nearby', 'bind', 'equal', 'important', 'attract', 'directionsmeaning', 'example', 'refer', 'number', 'charge', 'pair', 'regular', 'chloride', 'specific', 'physical', 'anion', 'incorrect', 'attractive', 'particular', 'cation', 'result', 'single', 'dimensional', 'note', 'ion', 'bond', 'formula']",0.0
616,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"It is important to note, however, that the formula for an ionic compound does not                    represent the physical arrangement of its ions. It is incorrect to refer to a                    sodium chloride (NaCl) cmoleculed because there is not a single ionic bond, per                    se, between any specific pair of sodium and chloride ions. The attractive forces                    between ions are isotropicthe same in all directionsmeaning that any                    particular ion is equally attracted to all of the nearby ions of opposite                    charge. This results in the ions arranging themselves into a tightly bound,                    three-dimensional lattice structure. Sodium chloride, for example, consists of a                    regular arrangement of equal numbers of Na+ cations and                        Cl anions.",What is incorrect to refer to a sodium chloride cmoleculed?,"['compound', 'cmolecule', 'represent', 'sodium', 'structure', 'lattice', 'force', 'consist', 'ionic', 'arrange', 'opposite', 'arrangement', 'nearby', 'bind', 'equal', 'important', 'attract', 'directionsmeaning', 'example', 'refer', 'number', 'charge', 'pair', 'regular', 'chloride', 'specific', 'physical', 'anion', 'incorrect', 'attractive', 'particular', 'cation', 'result', 'single', 'dimensional', 'note', 'ion', 'bond', 'formula']",2.1111111111111116
617,Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,Reference: The Periodic Table of Elements,"It is important to note, however, that the formula for an ionic compound does not                    represent the physical arrangement of its ions. It is incorrect to refer to a                    sodium chloride (NaCl) cmoleculed because there is not a single ionic bond, per                    se, between any specific pair of sodium and chloride ions. The attractive forces                    between ions are isotropicthe same in all directionsmeaning that any                    particular ion is equally attracted to all of the nearby ions of opposite                    charge. This results in the ions arranging themselves into a tightly bound,                    three-dimensional lattice structure. Sodium chloride, for example, consists of a                    regular arrangement of equal numbers of Na+ cations and                        Cl anions.",The attractive forces between ions are isotropicthe same in all directions?,"['compound', 'cmolecule', 'represent', 'sodium', 'structure', 'lattice', 'force', 'consist', 'ionic', 'arrange', 'opposite', 'arrangement', 'nearby', 'bind', 'equal', 'important', 'attract', 'directionsmeaning', 'example', 'refer', 'number', 'charge', 'pair', 'regular', 'chloride', 'specific', 'physical', 'anion', 'incorrect', 'attractive', 'particular', 'cation', 'result', 'single', 'dimensional', 'note', 'ion', 'bond', 'formula']",0.0
