Unit,Module,Title,Subheaders,Paragraph,Question,Answer_generated
Data Science Project Planning,Design and Plan Overview,Diagrams in Design Document,Friendly reminder: Don\xe2\x80\x99t forget to include a legend in your diagrams. It greatly increases the readability of your diagrams and helps with communication.,What type of queuing system are you expected to use?,What type of queuing system are you expected to use?,What type of queuing system are you expected to use? Q: What type of queuing system are you expected to use? A: Queuing system
Data Science Project Planning,Design and Plan Overview,Diagrams in Design Document,Friendly reminder: Don\xe2\x80\x99t forget to include a legend in your diagrams. It greatly increases the readability of your diagrams and helps with communication.,"In the following example, we know that we have docker containers that interact with a Job Monitor, a Log Server, and a Launcher.",The Job Monitor is a container that is used to monitor what?,"In the following example, we know that we have docker containers that interact with a Job Monitor, a Log Server, and a Launcher. Q: The Job Monitor is a container that is used to monitor what? A: a Job"
Data Science Project Planning,Design and Plan Overview,Diagrams in Design Document,Friendly reminder: Don\xe2\x80\x99t forget to include a legend in your diagrams. It greatly increases the readability of your diagrams and helps with communication.,"Figure 3. Overview of Execution Engine Architecture (ACAI, MCDS Capstone Project, 2020)","Overview of Execution Engine Architecture (ACAI, MCDS Capstone Project, 2020) is a project that involves the creation of what?","Figure 3. Overview of Execution Engine Architecture (ACAI, MCDS Capstone Project, 2020) Q: Overview of Execution Engine Architecture (ACAI, MCDS Capstone Project, 2020) is a project that involves the creation of what? A: a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project that involves the creation of what? a project"
Deep Learning and Model Deployment,Deep Learning & Computer Vision,Computer Vision Applications,,Optical character recognition (OCR),Optical character recognition (OCR) is a term that refers to the recognition of a character that is recognized by a computer as a physical object that is recognized by a computer as what?,Optical character recognition (OCR) Q: Optical character recognition (OCR) is a term that refers to the recognition of a character that is recognized by a computer as a physical object that is recognized by a computer as what? A: a physical object
Deep Learning and Model Deployment,Deep Learning & Computer Vision,Computer Vision Applications,,"Optical character recognition or optical character reader (OCR) is a technology to convert images of text into actual text. The text images can be typed, handwritten, or printed into machine-encoded text such as a scanned document, a photo of a document, or an image that contains the text. Figure 4 shows the results of probably the first OCR task, LeNet. OCR is a commonly used method to digitalize printed text to reduce storage size and enable editability and searchability.",OCR is a technology to convert images of text into what?,"Optical character recognition or optical character reader (OCR) is a technology to convert images of text into actual text. The text images can be typed, handwritten, or printed into machine-encoded text such as a scanned document, a photo of a document, or an image that contains the text. Figure 4 shows the results of probably the first OCR task, LeNet. OCR is a commonly used method to digitalize printed text to reduce storage size and enable editability and searchability. Q: OCR is a technology to convert images of text into what? A: actual text"
Deep Learning and Model Deployment,Deep Learning & Computer Vision,Computer Vision Applications,,Face Recognition,Face Recognition is a feature of the device that allows users to recognize what?,Face Recognition Q: Face Recognition is a feature of the device that allows users to recognize what? A: what? their face
Deep Learning and Model Deployment,Deep Learning & Computer Vision,Computer Vision Applications,,Figure 6. Apples Face ID.,Apples face ID is a feature of what?,Figure 6. Apples Face ID. Q: Apples face ID is a feature of what? A: Apples
Deep Learning and Model Deployment,Deep Learning & Computer Vision,Computer Vision Applications,,"Facial recognition is a specific case of object detection where the primary object is a human face. While similar to object detection as a task, where features are detected and localized, facial recognition performs not only detection but also recognition of the detected face. Facial recognition systems search for standard features and landmarks like eyes, lips, or a nose and classify a face using these features and the positioning of these items. The facial recognition system is used as an ID verification process to authenticate users for security purposes, such as Apple's Face ID (Figure 6), Clear airport security service, and the United States driver's license photo database.",Facial recognition systems use what kind of feature?,"Facial recognition is a specific case of object detection where the primary object is a human face. While similar to object detection as a task, where features are detected and localized, facial recognition performs not only detection but also recognition of the detected face. Facial recognition systems search for standard features and landmarks like eyes, lips, or a nose and classify a face using these features and the positioning of these items. The facial recognition system is used as an ID verification process to authenticate users for security purposes, such as Apple's Face ID (Figure 6), Clear airport security service, and the United States driver's license photo database. Q: Facial recognition systems use what kind of feature? A: standard features and landmarks"
Deep Learning and Model Deployment,Deep Learning & Computer Vision,Computer Vision Applications,,"Image augmentation applications on various social media services, such as Snapchat, use an algorithm to detect faces and perform augmentation to swap faces in an image for entertainment (Figure 7).",The algorithm is used to do what?,"Image augmentation applications on various social media services, such as Snapchat, use an algorithm to detect faces and perform augmentation to swap faces in an image for entertainment (Figure 7). Q: The algorithm is used to do what? A: detect faces and perform augmentation to swap faces in an image for entertainment"
Deep Learning and Model Deployment,Deep Learning & Computer Vision,Computer Vision Applications,,Figure 7. Snapchats Face Swap.,Snapchats face swap is a feature of what?,Figure 7. Snapchats Face Swap. Q: Snapchats face swap is a feature of what? A: Snapchats face swap
Deep Learning and Model Deployment,Deep Learning & Computer Vision,Computer Vision Applications,,Vision-based Biometrics,Vision-based Biometrics is a type of biometrics that involves the use of what kind of biometrics?,Vision-based Biometrics Q: Vision-based Biometrics is a type of biometrics that involves the use of what kind of biometrics? A: Biometrics
Collecting and Understanding Data,Data Collection,Where do data come from?,,"As a professional who works with data, it is important to know where data come from and think about the analytical approaches that one will take to analyze data. Before going further into data analysis, we want to understand where the data that are provided to us come from or what approaches have been used to gather data for the study. We need to ask these questions to guide us in thinking about what process generated the data and the type of data that we may be working with or collecting. In general, there are two key types of data:","In general, there are two key types of data: what is the first type of data that we want to analyze?","As a professional who works with data, it is important to know where data come from and think about the analytical approaches that one will take to analyze data. Before going further into data analysis, we want to understand where the data that are provided to us come from or what approaches have been used to gather data for the study. We need to ask these questions to guide us in thinking about what process generated the data and the type of data that we may be working with or collecting. In general, there are two key types of data: Q: In general, there are two key types of data: what is the first type of data that we want to analyze? A: data generated"
Collecting and Understanding Data,Data Collection,Where do data come from?,,Organic or process data,Organic or process data is stored in a secure location where it can be accessed by anyone who wants to use it for what?,Organic or process data Q: Organic or process data is stored in a secure location where it can be accessed by anyone who wants to use it for what? A: anything
Collecting and Understanding Data,Data Collection,Where do data come from?,,Data collected from a designed study,Data collected from a designed study to determine the relationship between the two groups of people in a study?,Data collected from a designed study Q: Data collected from a designed study to determine the relationship between the two groups of people in a study? A: data collected from a design study
Collecting and Understanding Data,Data Collection,Where do data come from?,,"Organic or process data are data that are generated by an automated computerized information system or extracted from images, video, or audio recordings. This type of data is generated organically as a result of some process continuously or over a period of time.",What is the process that generates data?,"Organic or process data are data that are generated by an automated computerized information system or extracted from images, video, or audio recordings. This type of data is generated organically as a result of some process continuously or over a period of time. Q: What is the process that generates data? A: automated computerized information system or extracted from images, video, or audio recordings"
Collecting and Understanding Data,Data Collection,Where do data come from?,,Financial or stock market exchange transactions,Certain exchanges and exchanges subject to certain restrictions and restrictions that may apply to certain types of exchanges and exchanges are subject to certain restrictions and what?,Financial or stock market exchange transactions Q: Certain exchanges and exchanges subject to certain restrictions and restrictions that may apply to certain types of exchanges and exchanges are subject to certain restrictions and what? A: restrictions
Collecting and Understanding Data,Data Collection,Where do data come from?,,Web browser history,Web browser history is a history of what?,Web browser history Q: Web browser history is a history of what? A: history of what? a history of what? a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a
Collecting and Understanding Data,Data Collection,Where do data come from?,,Web or mobile application activity history,Web or mobile application activity history is stored in a file called what??,Web or mobile application activity history Q: Web or mobile application activity history is stored in a file called what?? A: what??
Collecting and Understanding Data,Data Collection,Where do data come from?,,Netflix viewing history,Netflix viewing history?,Netflix viewing history Q: Netflix viewing history? A: history
Collecting and Understanding Data,Data Collection,Where do data come from?,,Surveillance camera video recordings,Surveillance camera video recordings of what kind of video were taken?,Surveillance camera video recordings Q: Surveillance camera video recordings of what kind of video were taken? A: video
Collecting and Understanding Data,Data Collection,Where do data come from?,,"Data collected from a designed study as the name suggests derives data from specific studies designed to address particular research topics. The main difference between this type of data and organic data is that data collected from a designed study are collected based on a certain guided agenda by theory, prior knowledge, literature, etc., in order to test particular hypotheses or to attempt to answer predetermined research questions.",Organic data is collected from what type of study?,"Data collected from a designed study as the name suggests derives data from specific studies designed to address particular research topics. The main difference between this type of data and organic data is that data collected from a designed study are collected based on a certain guided agenda by theory, prior knowledge, literature, etc., in order to test particular hypotheses or to attempt to answer predetermined research questions. Q: Organic data is collected from what type of study? A: a design study"
Collecting and Understanding Data,Data Collection,Where do data come from?,,"Questionnaires and surveys. Questionnaires are used to collect data from a group of individuals. Questionnaires can be administered on paper or online. In general, it might be easier to distribute questionnaires online as there are efficient tools that can analyze the collected data. Questionnaires can have open-ended, closed-ended, rating, Likert-scale, or multiple-choice questions. Data cleaning is still a consideration with questionnaire data as errors can occur. For example, responses to open-ended questions can contain misspellings, among other errors.",What is a possible cause of errors in the questionnaire?,"Questionnaires and surveys. Questionnaires are used to collect data from a group of individuals. Questionnaires can be administered on paper or online. In general, it might be easier to distribute questionnaires online as there are efficient tools that can analyze the collected data. Questionnaires can have open-ended, closed-ended, rating, Likert-scale, or multiple-choice questions. Data cleaning is still a consideration with questionnaire data as errors can occur. For example, responses to open-ended questions can contain misspellings, among other errors. Q: What is a possible cause of errors in the questionnaire? A: data cleaning"
Collecting and Understanding Data,Data Collection,Where do data come from?,,"Interviews. Interviews are open-ended question-answering dialogs between an interviewer and one or more interviewees. Interviews are guided by an interview protocol designed to provide instructions for the interview process, the questions to be asked, and the space to take notes during the interview.",The interview protocol is designed to provide instructions for what?,"Interviews. Interviews are open-ended question-answering dialogs between an interviewer and one or more interviewees. Interviews are guided by an interview protocol designed to provide instructions for the interview process, the questions to be asked, and the space to take notes during the interview. Q: The interview protocol is designed to provide instructions for what? A: the interview process"
Collecting and Understanding Data,Data Collection,Where do data come from?,,"Observation is the process of gathering open-ended, firsthand information by observing people and places at a research site. Data collected during these observations can support or complement the data collected during interviews and from questionnaires.","In addition to the data collected during observations, what else can be used to support the data collected?","Observation is the process of gathering open-ended, firsthand information by observing people and places at a research site. Data collected during these observations can support or complement the data collected during interviews and from questionnaires. Q: In addition to the data collected during observations, what else can be used to support the data collected? A: questionnaires"
Exploratory Data Analysis,Feature Engineering,Feature Vectors,"Raw Data to Features,Features","So far, we have discussed data as an entity in the data science process and how it is transformed during the cleaning/wrangling process, used for exploratory data analysis, and used to draw conclusions with inferential statistics. Now we will focus on the parts of data that can be useful in the model-building process, parts of data that will assist in performing the tasks that you have defined in earlier stages of the data science process, and those tasks that are done to meet our analytic objective. Developing an analytic solution will involve the use of statistical modeling. We must understand that those models consist of formulae that only relate numerical quantities to each other. How then can we build a solution that ranks customer preferences or identifies segments of a customer base that might benefit from a service? How can a mathematical model understand variables that are not numeric?",How then can we build a solution that ranks customer preferences or identifies segments of a customer base that might benefit from a service? How can a mathematical model understand variables that are not numeric?,"So far, we have discussed data as an entity in the data science process and how it is transformed during the cleaning/wrangling process, used for exploratory data analysis, and used to draw conclusions with inferential statistics. Now we will focus on the parts of data that can be useful in the model-building process, parts of data that will assist in performing the tasks that you have defined in earlier stages of the data science process, and those tasks that are done to meet our analytic objective. Developing an analytic solution will involve the use of statistical modeling. We must understand that those models consist of formulae that only relate numerical quantities to each other. How then can we build a solution that ranks customer preferences or identifies segments of a customer base that might benefit from a service? How can a mathematical model understand variables that are not numeric? Q: How then can we build a solution that ranks customer preferences or identifies segments of a customer base that might benefit from a service? How can a mathematical model understand variables that are not numeric? A: mathematical model"
Exploratory Data Analysis,Feature Engineering,Feature Vectors,"Raw Data to Features,Features","When raw data is transformed into features, a data scientist must consider the right features that are useful for the data science task. A good feature is one that is appropriate to the statistical modeling technique and data science task. Features should also provide information, i.e., if you are performing a predictive task, your features should have predictive values.",A good feature is one that is appropriate to what?,"When raw data is transformed into features, a data scientist must consider the right features that are useful for the data science task. A good feature is one that is appropriate to the statistical modeling technique and data science task. Features should also provide information, i.e., if you are performing a predictive task, your features should have predictive values. Q: A good feature is one that is appropriate to what? A: statistical modeling technique"
Exploratory Data Analysis,Feature Engineering,Feature Vectors,"Raw Data to Features,Features","Feature engineering is the process of extracting features from raw data and transforming those features into suitable formats for a machine learning model. Feature engineering leads to higher quality models and better insights for decision-makers. When you think about the diverse machine learning techniques, data science tasks, and contexts in which we apply machine learning, you will see that feature engineering can not be generalized. It is not a one size fits all process. It is dependent on the analytic objective and the data. Feature engineering requires domain knowledge and intuition.",What is the process of extracting features from raw data?,"Feature engineering is the process of extracting features from raw data and transforming those features into suitable formats for a machine learning model. Feature engineering leads to higher quality models and better insights for decision-makers. When you think about the diverse machine learning techniques, data science tasks, and contexts in which we apply machine learning, you will see that feature engineering can not be generalized. It is not a one size fits all process. It is dependent on the analytic objective and the data. Feature engineering requires domain knowledge and intuition. Q: What is the process of extracting features from raw data? A: Feature engineering"
Exploratory Data Analysis,Feature Engineering,Feature Vectors,"Raw Data to Features,Features","During the feature engineering process, the data scientist will remove features from the data that do not provide task-specific information (e.g., the feature has no predictive value) and also features that introduce redundancy. This is called feature selection.",The feature selection process is called what?,"During the feature engineering process, the data scientist will remove features from the data that do not provide task-specific information (e.g., the feature has no predictive value) and also features that introduce redundancy. This is called feature selection. Q: The feature selection process is called what? A: feature selection"
Exploratory Data Analysis,Feature Engineering,Feature Vectors,"Raw Data to Features,Features","Numeric Data Types: Even though we defined a feature as a numeric representation of data, raw data that is in numeric form should also undergo feature engineering. This is because the data must meet the assumptions of the chosen model.",The data must meet the assumptions of what?,"Numeric Data Types: Even though we defined a feature as a numeric representation of data, raw data that is in numeric form should also undergo feature engineering. This is because the data must meet the assumptions of the chosen model. Q: The data must meet the assumptions of what? A: the chosen model"
Exploratory Data Analysis,Feature Engineering,Feature Vectors,"Raw Data to Features,Features",Spaces: Vectors exist within a vector space and are also a collection of vectors that can be added or multiplied by scalars.,A vector space is a collection of what?,Spaces: Vectors exist within a vector space and are also a collection of vectors that can be added or multiplied by scalars. Q: A vector space is a collection of what? A: vectors
Exploratory Data Analysis,Feature Engineering,Feature Vectors,"Raw Data to Features,Features","In machine learning, the input to a model is represented as a numeric vector.",The input to a model is represented as what?,"In machine learning, the input to a model is represented as a numeric vector. Q: The input to a model is represented as what? A: a numeric vector"
Data Science Project Planning,Requirements Gathering,Writing a Requirements Document,,"The next section in the requirements document will be the system functionality section. This section describes the goals of the project using multiple simplified diagrams, such as context diagrams and component diagrams, which can be used to illustrate these goals.",The system functionality section describes the goals of the project using what?,"The next section in the requirements document will be the system functionality section. This section describes the goals of the project using multiple simplified diagrams, such as context diagrams and component diagrams, which can be used to illustrate these goals. Q: The system functionality section describes the goals of the project using what? A: multiple simplified diagrams"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","A hypothesis test is simply a statistical procedure by which you can test some assumption about some fact about the true distribution of your dataset, known as a population parameter, and decide if you have a statistically significant result.",A population parameter is a statistical procedure that you use to test some assumption about what?,"A hypothesis test is simply a statistical procedure by which you can test some assumption about some fact about the true distribution of your dataset, known as a population parameter, and decide if you have a statistically significant result. Q: A population parameter is a statistical procedure that you use to test some assumption about what? A: the true distribution of your dataset"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking",Performing a hypothesis test involves three major steps:,"Performing a hypothesis test involves three major steps: first, what is the first step? What is the first step? What is the first step?","Performing a hypothesis test involves three major steps: Q: Performing a hypothesis test involves three major steps: first, what is the first step? What is the first step? What is the first step? A: What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step? What is the first step?"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","Looking up the p-value for that test statistic, and comparing it to some pre-defined confidence cthresholdd, \\(\\alpha\\). This \\(\\alpha\\) is the minimum likelihood threshold for failing to reject the null hypothesis. If we are lower than \\(\\alpha\\), we can reject the null, and tentatively suggest the alternative is more possible.","If we are higher than what threshold, we can reject the null hypothesis?","Looking up the p-value for that test statistic, and comparing it to some pre-defined confidence cthresholdd, \\(\\alpha\\). This \\(\\alpha\\) is the minimum likelihood threshold for failing to reject the null hypothesis. If we are lower than \\(\\alpha\\), we can reject the null, and tentatively suggest the alternative is more possible. Q: If we are higher than what threshold, we can reject the null hypothesis? A: \\(alpha\\)"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","Without further ado, lets discuss the first statistical test of this module and one of the forerunners of hypothesis testing: Welchs t-test.",Welchs t-test is a test of what?,"Without further ado, lets discuss the first statistical test of this module and one of the forerunners of hypothesis testing: Welchs t-test. Q: Welchs t-test is a test of what? A: hypothesis testing"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","If we want to compare these means \\(\\mu_\\alpha\\) and \\(\\mu_{\\beta}\\) against each other, we first need to define some sort of null and alternative hypotheses. Here, we have two options.",The first option is to use what?,"If we want to compare these means \\(\\mu_\\alpha\\) and \\(\\mu_{\\beta}\\) against each other, we first need to define some sort of null and alternative hypotheses. Here, we have two options. Q: The first option is to use what? A: null and alternative hypotheses"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","For this test, our test metric is actually much simpler:","For this test, our test metric is actually much simpler: what is the test metric?","For this test, our test metric is actually much simpler: Q: For this test, our test metric is actually much simpler: what is the test metric? A: Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q: our test metric is actually much simpler: what is the test metric? A Q:"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","While there is no end-all-be-all hypothesis test in this space, it is worth mentioning that this test assumes far less about accuracy than the standard Welchs t-test. Namely, it just assumes the samples you have tested are independent or that no datums feature-label pairing depends on another datums feature-label pairing.","In addition to Welchs t-test, what other test is used to test for more accuracy?","While there is no end-all-be-all hypothesis test in this space, it is worth mentioning that this test assumes far less about accuracy than the standard Welchs t-test. Namely, it just assumes the samples you have tested are independent or that no datums feature-label pairing depends on another datums feature-label pairing. Q: In addition to Welchs t-test, what other test is used to test for more accuracy? A: Welchs t-test"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","However, both of these tests do suffer a single, incredibly critical flaw.",The flaw is that the test results are not what?,"However, both of these tests do suffer a single, incredibly critical flaw. Q: The flaw is that the test results are not what? A: critical flaw"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","Namely, they suffer from cp-hacking.d","Namely, they suffer from cp-hacking.dmg and what else?","Namely, they suffer from cp-hacking.d Q: Namely, they suffer from cp-hacking.dmg and what else? A: they suffer from cp-hacking.dmg"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","From our introduction to hypothesis testing, remember that the p-value is simply the probability that our null hypothesis implies the result we have. Due to this definition, we run into problems when we try to take paired tests, which look at pairs of models or pairs of means and expand them to handle more than two models at a time.","In addition to the p-value, what else is the p-value?","From our introduction to hypothesis testing, remember that the p-value is simply the probability that our null hypothesis implies the result we have. Due to this definition, we run into problems when we try to take paired tests, which look at pairs of models or pairs of means and expand them to handle more than two models at a time. Q: In addition to the p-value, what else is the p-value? A: the probability that our null hypothesis implies the result we have"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","Such a result would lead to a false comparison, where we find a statistically significant conclusion, not due to our data analysis skills but simply due to flipping the coin enough times. In research, this has led to situations where published research had a result that came from finding a singular interesting conclusion after sifting through a number of conclusions that did not pan out.","In a study, what did the results of a study show?","Such a result would lead to a false comparison, where we find a statistically significant conclusion, not due to our data analysis skills but simply due to flipping the coin enough times. In research, this has led to situations where published research had a result that came from finding a singular interesting conclusion after sifting through a number of conclusions that did not pan out. Q: In a study, what did the results of a study show? A: a singular interesting conclusion after sifting through a number of conclusions that did not pan out"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","Given this problem, then, the question is, how are we going to correct it and thus ensure that our models are statistically significantly different from each other?","Given this problem, then, the question is, how are we going to correct it and thus ensure that our models are statistically significantly different from each other?","Given this problem, then, the question is, how are we going to correct it and thus ensure that our models are statistically significantly different from each other? Q: Given this problem, then, the question is, how are we going to correct it and thus ensure that our models are statistically significantly different from each other? A: by using statistical differences"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","With this, we can then define the Friedman test in terms of the average rank of the \\(i^{th}\\) algorithm, \\(r_{i}\\), among all datasets.",The Friedman test is based on the assumption that the rank of the algorithm is what?,"With this, we can then define the Friedman test in terms of the average rank of the \\(i^{th}\\) algorithm, \\(r_{i}\\), among all datasets. Q: The Friedman test is based on the assumption that the rank of the algorithm is what? A: average rank"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking",and the associated statistic is:,and the associated statistic is: What is the name of the statistic that is used to show that the number of people in the population is increasing?,and the associated statistic is: Q: and the associated statistic is: What is the name of the statistic that is used to show that the number of people in the population is increasing? A: the associated statistic
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","There are a wide variety of these tests and many ways to display them. As calculating them can be relatively intensive, we will simply note that there are two types of post hoc tests:","As calculating them can be relatively intensive, we will simply note that there are two types of post hoc tests: one type of test is called what?","There are a wide variety of these tests and many ways to display them. As calculating them can be relatively intensive, we will simply note that there are two types of post hoc tests: Q: As calculating them can be relatively intensive, we will simply note that there are two types of post hoc tests: one type of test is called what? A: post hoc"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","According to Dermatology Associates, hyper-pigmentation is the number one skin health concern for Black females ages 18-45. Skincare Co. is one of the leading manufacturers of skin care products. Skincare Co. is looking to develop a 120-day skincare line to target this population and this skin health concern. You are the data scientist assigned to the project investigating the use of the ingredient hydroquinone in the product for the treatment of hyperpigmentation. Your preliminary research has found that administering hydroquinone on the skin of black females ages 18-45 for more than 90 days at a time will lead to permanent skin damage. This is different from claims that have been made about this ingredient (previous claims state that there will be no damage). This claim or belief has been formulated, and it should be tested with evidence that refutes or proves that it is true. You can use hypothesis testing to provide this evidence. To construct a hypothesis test:",To construct a hypothesis test: What is the name of the product that is used to treat hyperpigmentation?,"According to Dermatology Associates, hyper-pigmentation is the number one skin health concern for Black females ages 18-45. Skincare Co. is one of the leading manufacturers of skin care products. Skincare Co. is looking to develop a 120-day skincare line to target this population and this skin health concern. You are the data scientist assigned to the project investigating the use of the ingredient hydroquinone in the product for the treatment of hyperpigmentation. Your preliminary research has found that administering hydroquinone on the skin of black females ages 18-45 for more than 90 days at a time will lead to permanent skin damage. This is different from claims that have been made about this ingredient (previous claims state that there will be no damage). This claim or belief has been formulated, and it should be tested with evidence that refutes or proves that it is true. You can use hypothesis testing to provide this evidence. To construct a hypothesis test: Q: To construct a hypothesis test: What is the name of the product that is used to treat hyperpigmentation? A: hydroquinone"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","The example above does not cover the entirety of identifying your null and alternative hypotheses. You must know that if proven, your alternative hypothesis is a call to action, i.e., if you reject your null hypothesis, then the status quo has been changed, and the decision-makers must take action. How do we test our hypothesis statistically?",How do we test our hypothesis statistically?,"The example above does not cover the entirety of identifying your null and alternative hypotheses. You must know that if proven, your alternative hypothesis is a call to action, i.e., if you reject your null hypothesis, then the status quo has been changed, and the decision-makers must take action. How do we test our hypothesis statistically? Q: How do we test our hypothesis statistically? A: by using statistical methods"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","So, we have our p-value <  \\(\\alpha_z\\)","So, we have our p-value <  \\(\\alpha_z\\)> and what else?","So, we have our p-value <  \\(\\alpha_z\\) Q: So, we have our p-value <  \\(\\alpha_z\\)> and what else? A: our p-value"
Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","Hence, we can conclude that we should reject the null hypothesis as a p-value less than 0.05 is typically considered to be statistically significant.","In addition to the null hypothesis, what else is considered to be significant?","Hence, we can conclude that we should reject the null hypothesis as a p-value less than 0.05 is typically considered to be statistically significant. Q: In addition to the null hypothesis, what else is considered to be significant? A: p-value less than 0.05"
