Unit,Module,Title,Text,Subheaders
Solutions,Colligative Properties,Introduction to Colligative Properties,"The properties of a solution are different from those of either the pure solute(s) or\n            solvent. Many solution properties are dependent upon the chemical identity of the\n            solute. Compared to pure water, a solution of hydrogen chloride is more acidic, a\n            solution of ammonia is more basic, a solution of sodium chloride is more dense, and a\n            solution of sucrose is more viscous. There are a few solution properties, however, that\n            depend only upon the total concentration of solute species, regardless of their\n            identities. These colligative properties include vapor pressure lowering, boiling point\n            elevation, freezing point depression, and osmotic pressure. This small set of properties\n            is of central importance to many natural phenomena and technological applications, as\n            will be described in this module.
Adapted from Openstax Chemistry under   Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",Reference: The Periodic Table of Elements
Foundations of Chemistry,Course Introduction,How to Use the OLI Course,"This course is thoughtfully designed (relying heavily on research-based principles of\n            learning science) to guide you through your learning of General \n                Chemistry. Understanding how and why the course is set-up as it is will help you better\n            utilize all aspects of the course and allow you to more successfully and efficiently learn\n            the concepts.
One of the first things you will notice as you begin is that at the top of every\n                    core content page there are one or more learning objectives.
Learning Objectives appear at the top of the page to guide your learning.
These learning objectives are intended to guide you as to what you should be\n                    accomplishing on that page(s). It is a good idea to make a mental note of, or even write\n                    down, these learning objectives and reflect on them as you are going through the\n                    content. Ask yourself, ""Am I achieving this objective?""
There are many activities throughout this course. The activities are\n                    designed to more fully engage you in the learning process. You will notice there\n                    are two categories of activities within the modules: Learn By\n                        Doing and Did I Get This. These types of\n                    activities are designed in different ways, each for a unique purpose.
The Learn By Doing activities are designed to\n                            scaffold your learning. They provide significantly more guidance than\n                            the Did I Get This activities in a number of\n                            ways. One of the more obvious methods of guidance is hints. You will\n                            notice that many of these activities have hints. If you are unsure how\n                            to approach a problem, ask for a hint to guide you. Note that some\n                            problems have multiple hints.
Learn By Doing activities scaffold practice. Ask for a hint if you are unsure how to progress.\n
An additional way you will see that Learn By\n                            Doing activities help to scaffold learning is to present\n                            problems in a step-by-step manner. Learn By\n                                Doing activities are usually presented before Did I Get This activities.
Some Learn By Doing activities present problem solving in a \n                                step-by-step manner \n                                to scaffold practice.\n                                \n
The Did I Get This activities are designed to be\n                            a self-assessment. Problems generally do not include hints and are\n                            generally not presented in a step-wise manner. This is your opportunity\n                            to determine after reading through the material and performing the\n                            numerous activities that preceded, whether or not you ""got"" the concept.\n                            In the event that you feel that you have not ""gotten"" the concept, it is\n                            a good idea to go back and review the previous material and/or seek help\n                            from your instructor.
Did I get this activities allow you to self-assess your understanding before a graded assignment. \n
My Response activity links are at the end of each\n                            module. These activities allow you to reflect on how well you learned\n                            the concepts presented. Reflecting on your own learning, also know as\n                            metacognition, is a proven way to promote the\n                            development of effective learning.
You also have the opportunity to include questions you might have for\n                            your instructor. Your responses are sent to your instructor and may be\n                            used in classroom discussions.
Click on the My Response link to reflect on your understanding and provide feedback to your instructor. \n
There is a Checkpoint at the end of each module and unit. \n                            \n                            This is a graded assignment and the score will be reported to your\n                            instructor. Your instructor may decide to assign points to your overall grade in\n                            the course for these assignments.
There are many numeric input problems within this course. For any of\n                            these you may use standard notation or scientific notation. It is highly\n                            recommended for very small or very large values that you use scientific\n                            notation.
For exponents, use the letter e. For example, for 6.022\n                            enter 6.022e23.
Much of the text contained in this course has been adapted from the Openstax Chemistry text. As such, you will see the\n                    following attribution on each page of this course.
Adapted fromOpenstax\n                    Chemistry under  Creative Commons\n                        Attribution 4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.
Sandra Raysor, Carnegie Mellon University
Mark Blaser, Shasta College
Dhaval Doshi, Mt. San Antonio College
David Yaron, Carnegie Mellon University
James Rudd, California State University, Los Angeles
Catherine Uvarov, Fresno City College
Timothy Shelton, Shasta College
Lawrence Yee, Hartnell College
Wendy Lampart, Hartnell College
Michael Mccarthy, Hartnell College
Slava Bekker, American River College
Veronica Wheaton, American River College
Brandon Tenn, Merced College
Julia Chamberlain, University of California, Davis
Eliud Mushibe, Fresno City College",Get Checkpoint Image
Foundations of Chemistry,Measurements,International System of Units,"Measurements provide the macroscopic information that is the basis of most of the\n            hypotheses, theories, and laws that describe the behavior of matter and energy in both\n            the macroscopic and microscopic domains of chemistry. Every measurement provides three\n            kinds of information:
While the number and unit are explicitly represented when a quantity is written, the\n            uncertainty is an aspect of the measurement result that is more implicitly represented\n            and will be discussed later. The number in the measurement can be represented in\n            different ways, including decimal form and scientific notation.
Units, such as liters, pounds, and centimeters, are standards of comparison for\n            measurements. When we buy a 2-liter bottle of a soft drink, we expect that the volume of\n            the drink was measured, so it is two times larger than the volume that everyone agrees\n            to be 1 liter. Without units, a number can be meaningless, confusing, or possibly life\n            threatening. Suppose a doctor prescribes phenobarbital to control a patients seizures\n            and states a dosage of d without specifying units. Not only will this be confusing\n            to the medical professional giving the dose, but also the consequences can be dire: 100 mg\n            given three times per day can be effective as an anticonvulsant, but a single dose of\n            100 g is more than 10 times the lethal amount.
We usually report the results of scientific measurements in SI units, an updated version\n            of the metric system, using the units listed in table below. Other units can be derived\n            from these base units. The standards for these units are fixed by international\n            agreement, and they are called the International System of Units or SI Units (from the\n            French, Le Systme International dUnits). SI units have been used by the United States\n            National Institute of Standards and Technology (NIST) since 1964.
Sometimes we use units that are fractions or multiples of a base unit. Ice cream\n                    is sold in quarts (a familiar, non-SI base unit), pints (0.5 quart), or gallons\n                    (4 quarts). We also use fractions or multiples of units in the SI system, but\n                    these fractions or multiples are always powers of 10. Fractional or multiple SI\n                    units are named using a prefix and the name of the base unit. For example, a\n                    length of 1000 meters is also called a kilometer because the prefix kilo means\n                    cone thousand,d which in scientific notation is 103 (1 kilometer =\n                    1000 m = 103 m). The prefixes used and the powers to which 10 are\n                    raised are listed in table below.
The initial units of the metric system, which eventually evolved into the SI\n                    system, were established in France during the French Revolution. The original\n                    standards for the meter and the kilogram were adopted there in 1799 and\n                    eventually by other countries. This section introduces four of the SI base units\n                    commonly used in chemistry. Other SI units will be introduced in subsequent\n                    units.
The standard unit of length in both the SI and original metric systems is the\n                    meter (m). A meter was originally specified as 1/10,000,000 of the distance from\n                    the North Pole to the equator. It is now defined as the distance light in a\n                    vacuum travels in 1/299,792,458 of a second. A meter is about 3 inches longer\n                    than a yard (Figure); one meter is about 39.37 inches or 1.094 yards. Longer\n                    distances are often reported in kilometers (1 km = 1000 m = 103 m),\n                    whereas shorter distances can be reported in centimeters (1 cm = 0.01 m =\n                        10-2 m) or millimeters (1 mm = 0.001 m = 10-3 m).
The standard unit of mass in the SI system is the kilogram (kg). The kilogram was\n                    previously defined by the International Union of Pure and Applied Chemistry\n                    (IUPAC) as the mass of a specific reference object. This object was originally\n                    one liter of pure water, and more recently it was a metal cylinder made from a\n                    platinum-iridium alloy with a height and diameter of 39 mm. In May\n                    2019, this definition was changed to one that is based instead on precisely\n                    measured values of several fundamental physical constants. One kilogram is\n                    about 2.2 pounds. The gram (g) is exactly equal to 1/1000 of the mass of the\n                    kilogram (10 kg).
Temperature is an intensive property. The SI unit of temperature is the kelvin\n                    (K). The IUPAC convention is to use kelvin (all lowercase) for the word, K\n                    (uppercase) for the unit symbol, and neither the word cdegreed nor the degree\n                    symbol (°). The degree Celsius (°C) is also allowed in the SI system,\n                    with both the word cdegreed and the degree symbol used for Celsius measurements.\n                    Celsius degrees are the same magnitude as those of kelvin, but the two scales\n                    place their zeros in different places. Water freezes at 273.15 K (0 °C) and\n                    boils at 373.15 K (100 °C) by definition, and normal human body temperature\n                    is approximately 310 K (37 °C). The conversion between these two units and\n                    the Fahrenheit scale will be discussed later in this module.
The SI base unit of time is the second (s). Small and large time intervals can be\n                    expressed with the appropriate prefixes; for example, 3 microseconds = 0.000003\n                    s = 3 × 10-6 and 5 megaseconds = 5,000,000 s = 5 ×\n                        106 s. Alternatively, hours, days, and years can be used.
Adapted from Openstax Chemistry under  Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",
Chemical Bonding and Molecular Geometry,Ionic and Covalent Bonding,Ionic Bond Formation,"Chemical bonding is the force of attraction that holds two or more atoms\n                    together. Chemical bonding is the result of atoms gaining, losing, or sharing\n                    valence electrons. Ionic bondselectrostatic forces of attraction between the oppositely charged ions of an ionic compound form from the transfer of electrons from one atom\n                    to another to form positively and negatively charged ions. Covalent bondsbond formed when electrons are shared between atoms form\n                    when two or more atoms share electrons. But why do atoms have this tendency to\n                    gain, lose, or share electrons to form compounds? The answer has to do with the\n                    stability of electron configurations. The most stable arrangement of electrons\n                    is when the outer shell is full. With the exception of the  first shell which\n                    is full with two electrons, all of the other shells are full with eight\n                    electrons. It is important to recognize that when the outer shell is full this\n                    corresponds to the electron configuration of a noble gas. From this general\n                    observation comes a very important concept of chemical bonding the Octet Ruleguideline that states main group atoms will form structures in which eight valence electrons interact with each nucleus, counting bonding electrons as interacting with both atoms connected by the bond.\n                    Main group elements will gain, lose, or share electrons in order to obtain the\n                    electron configuration of a noble gas.
electrostatic forces of attraction between the oppositely charged ions of an ionic compound
bond formed when electrons are shared between atoms
guideline that states main group atoms will form structures in which eight valence electrons interact with each nucleus, counting bonding electrons as interacting with both atoms connected by the bond
Previously, we discussed the basic concepts of ionic and covalent bonding. In\n                    this unit, we will look at chemical bonding in more detail, beginning here with\n                    ionic bonding.
As you have learned, ions are atoms or molecules bearing an electrical charge. A\n                    cation (a positive ion) forms when a neutral atom loses one or more electrons\n                    from its valence shell, and an anion (a negative ion) forms when a neutral atom\n                    gains one or more electrons in its valence shell.
Compounds composed of ions are called ionic compounds (or salts), and their\n                    constituent ions are held together by ionic bondselectrostatic forces of attraction between the oppositely charged ions of an ionic compound: electrostatic forces of\n                    attraction between oppositely charged cations and anions. The properties of\n                    ionic compounds shed some light on the nature of ionic bonds. Ionic solids\n                    exhibit a crystalline structure and tend to be rigid and brittle; they also tend\n                    to have high melting and boiling points, which suggests that ionic bonds are\n                    very strong. Ionic solids are also poor conductors of electricity for the same\n                    reasonthe strength of ionic bonds prevents ions from moving freely in the solid\n                    state. Most ionic solids, however, dissolve readily in water. Once dissolved or\n                    melted, ionic compounds are excellent conductors of electricity and heat because\n                    the ions can move about freely.
electrostatic forces of attraction between the oppositely charged ions of an ionic compound
Neutral atoms and their associated ions have very different physical and chemical\n                    properties. Sodium atoms form sodium metal, a soft, silvery-white metal that\n                    burns vigorously in air and reacts explosively with water. Chlorine atoms form\n                    chlorine gas, Cl2, a yellow-green gas that is extremely corrosive to\n                    most metals and very poisonous to animals and plants. The vigorous reaction\n                    between the elements sodium and chlorine forms the white, crystalline compound\n                    sodium chloride, common table salt, which contains sodium cations and chloride\n                    anions. The compound composed of these ions exhibits properties entirely\n                    different from the properties of the elements sodium and chlorine. Chlorine is\n                    poisonous, but sodium chloride is essential to life; sodium atoms react\n                    vigorously with water, but sodium chloride simply dissolves in water.
Binary ionic compounds are composed of just two elements: a metal (which forms\n                    the cations) and a nonmetal (which forms the anions). For example, NaCl is a\n                    binary ionic compound. We can think about the formation of such compounds in\n                    terms of the periodic properties of the elements. Many metallic elements have\n                    relatively low ionization energies and lose electrons easily. The lower the IE\n                    the more easily the atom loses electrons and the more chemically reactive. The\n                    most chemically reactive metals are in the lower left of the periodic table.\n                    Nonmetal atoms have relatively high electron affinities and thus readily gain\n                    electrons lost by metal atoms, thereby filling their valence shells. The most\n                    chemically reactive nonmetals are found in the upper-right corner of the\n                    periodic table not including the noble gases. The noble gases have very high\n                    ionization energies and very low electron affinities. With only a few\n                    exceptions, the noble gases do not form chemical bonds and are extremely\n                    unreactive.
As all substances must be electrically neutral, the total number of positive\n                    charges on the cations of an ionic compound must equal the total number of\n                    negative charges on its anions. The formula of an ionic compound represents the\n                    simplest ratio of the numbers of ions necessary to give identical numbers of\n                    positive and negative charges. For example, the formula for aluminum oxide,\n                        Al2O3, indicates that this ionic compound contains two\n                    aluminum cations, Al3+, for every three oxide anions, O2\n                    [thus, (2  +3) + (3  ) = 0].
It is important to note, however, that the formula for an ionic compound does not\n                    represent the physical arrangement of its ions. It is incorrect to refer to a\n                    sodium chloride (NaCl) cmoleculed because there is not a single ionic bond, per\n                    se, between any specific pair of sodium and chloride ions. The attractive forces\n                    between ions are isotropicthe same in all directionsmeaning that any\n                    particular ion is equally attracted to all of the nearby ions of opposite\n                    charge. This results in the ions arranging themselves into a tightly bound,\n                    three-dimensional lattice structure. Sodium chloride, for example, consists of a\n                    regular arrangement of equal numbers of Na+ cations and\n                        Cl anions.
Adapted from Openstax Chemistry under  Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",Reference: The Periodic Table of Elements
Gases,The Kinetic-Molecular Theory,The Kinetic-Molecular Theory,"The gas laws that we have seen to this point, as well as the ideal gas equation, are\n            empirical, that is, they have been derived from experimental observations. The\n            mathematical forms of these laws closely describe the macroscopic behavior of most gases\n            at pressures less than about 1 or 2 atm. Although the gas laws describe relationships\n            that have been verified by many experiments, they do not tell us why gases follow these\n            relationships.
The kinetic molecular theory (KMT) is a simple microscopic model that effectively\n            explains the gas laws described in previous modules of this chapter. This theory is\n            based on the following five postulates described here. (Note: The term cmoleculed will\n            be used to refer to the individual chemical species that compose the gas, although some\n            gases are composed of atomic species, for example, the noble gases.)
The test of the KMT and its postulates is its ability to explain and describe the\n            behavior of a gas. The various gas laws can be derived from the assumptions of the KMT,\n            which have led chemists to believe that the assumptions of the theory accurately\n            represent the properties of gas molecules. We will first look at the individual gas laws\n            (Boyles, Charless, Gay-Lussac\'s, Avogadros, and Daltons laws) conceptually to see\n            how the KMT explains them. Then, we will more carefully consider the relationships\n            between molecular masses, speeds, and kinetic energies with temperature, and explain\n            Grahams law.
Recalling that gas pressure is exerted by rapidly moving gas molecules and depends\n            directly on the number of molecules hitting a unit area of the wall per unit of time, we\n            see that the KMT conceptually explains the behavior of a gas. In the following series of\n            activities use your knowledge of the gas laws to answer the following questions, thereby\n            making the connection as to how the KMT explains the observations that result in the gas\n            laws.
Adapted from Openstax Chemistry under  Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",Reference: The Periodic Table of Elements
Chemical Bonding and Molecular Geometry,Lewis Structures,Lewis Symbols,"Thus far in this unit, we have discussed the various types of bonds that form between\n            atoms and/or ions. In all cases, these bonds involve the sharing or transfer of valence\n            shell electrons between atoms. In this module, we will explore the typical method for\n            depicting valence shell electrons and chemical bonds, namely Lewis symbolssymbol for an element or monatomic ion that uses a dot to represent each valence electron in the element or ion and Lewis structuresdiagram showing lone pairs and bonding pairs of electrons in a molecule or an ion.
symbol for an element or monatomic ion that uses a dot to represent each valence electron in the element or ion
diagram showing lone pairs and bonding pairs of electrons in a molecule or an ion
We use Lewis symbols to describe valence electron configurations of atoms and monatomic\n            ions. A Lewis symbol consists of an elemental symbol surrounded by one dot for each of\n            its valence electrons:
The table below shows the Lewis symbols for the elements of the third period of the\n            periodic table.
Lewis symbols can also be used to illustrate the formation of cations from atoms, as\n            shown here for sodium and calcium:
demonstrates the use of Lewis symbols to show the transfer of electrons during the\n            formation of ionic compounds.
Adapted from Openstax Chemistry under  Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",Reference: The Periodic Table of Elements
Foundations of Chemistry,Properties of Matter ,Matter,"\n                        Matter\n                        \n                            \n                                Anything that occupies space and has mass.\n                            \n                        \n                     is defined as anything that occupies space and has mass, and it is all\n                    around us. Solids and liquids are more obviously matter: We can see that they\n                    take up space, and their weight tells us that they have mass. Gases are also\n                    matter; if gases did not take up space, a balloon would stay collapsed rather\n                    than inflate when filled with gas.
Anything that occupies space and has mass.
Solids, liquids, and gases are the three states of matter commonly found on\n                    earth. A \n                        solid\n                        \n                            \n                                State of matter that has a definite shape and definite\n                                    volume.\n                            \n                        \n                     is rigid and possesses a definite shape. A \n                        liquid\n                        \n                            \n                                State of matter that has a definite volume, but and indefinite\n                                    shape and will take on the shape of its container.\n                            \n                        \n                     flows and takes the shape of a container, except that it forms a flat\n                    or slightly curved upper surface when acted upon by gravity. (In zero gravity,\n                    liquids assume a spherical shape.) Both liquid and solid samples have volumes\n                    that are very nearly independent of pressure. A \n                        gas\n                        \n                            \n                                State of matter with an indefinite shape and volume. It will take\n                                    on the shape and volume of its container.\n                            \n                        \n                     takes both the shape and volume of its container.
State of matter that has a definite shape and definite\n                                    volume.
State of matter that has a definite volume, but and indefinite\n                                    shape and will take on the shape of its container.
State of matter with an indefinite shape and volume. It will take\n                                    on the shape and volume of its container.
Some samples of matter appear to have properties of solids, liquids, and/or gases\n                    at the same time. This can occur when the sample is composed of many small\n                    pieces. For example, we can pour sand as if it were a liquid because it is\n                    composed of many small grains of solid sand. Matter can also have properties of\n                    more than one state when it is a mixture, such as with clouds. Clouds appear to\n                    behave somewhat like gases, but they are actually mixtures of air (gas) and tiny\n                    particles of water (liquid or solid).
A fourth state of matter, plasma\n                    \n                        \n                            A gaseous state of matter that contains appreciable numbers of\n                                electrically charged particles.\n                        \n                    \n                , occurs naturally in the interiors of stars and\n                    other high temperature situations. Like gases, plasmas are less dense than\n                    liquids or solids and do not have a fixed shape or volume. But unlike gases,\n                    plasmas contain significant amounts of electrically charged particles that are\n                    able to move freely. Due to these mobile charged particles, plasmas are very\n                    conductive and highly responsive to external electric or magnetic fields. In\n                    addition to stars, plasmas are found in neon signs, plasma TVs, lightning and\n                    the plasma torch (shown in the image below being used to cut through metal).
A gaseous state of matter that contains appreciable numbers of\n                                electrically charged particles.
The \n                        mass\n                        \n                            \n                                The measure of the amount of matter of an object.\n                            \n                        \n                     of an object is a measure of the amount of matter in it. One way to\n                    measure an objects mass is to measure the force it takes to accelerate the\n                    object. It takes much more force to accelerate a car than a bicycle because the\n                    car has much more mass. A more common way to determine the mass of an object is\n                    to use a balance to compare its mass with a standard mass.
The measure of the amount of matter of an object.
Although weight is related to mass, it is not the same thing. \n                        Weight\n                        \n                            \n                                The force that gravity exerts on an object.\n                            \n                        \n                     refers to the force that gravity exerts on an object. This force is\n                    directly proportional to the mass of the object. The weight of an object changes\n                    as the force of gravity changes, but its mass does not. An astronauts mass does\n                    not change just because she goes to the moon. But her weight on the moon is only\n                    one-sixth her earth-bound weight because the moons gravity is only one-sixth\n                    that of the earths.
The force that gravity exerts on an object.
The \n                        law of conservation of matter\n                        \n                            \n                                There is no change in the total quantity of matter present when\n                                    matter is converted from one type to another.\n                            \n                        \n                     summarizes many scientific observations about matter: It states that\n                    there is no change in the total quantity of matter present when matter converts\n                    from one type to another (a chemical change) or changes among solid, liquid, or\n                    gaseous states (a physical change). This can be seen in a lead-acid car battery:\n                    The original substances (lead, lead oxide, and sulfuric acid), which are capable\n                    of producing electricity, are changed into other substances (lead sulfate and\n                    water) that do not produce electricity, with no change in the actual amount of\n                    matter.
There is no change in the total quantity of matter present when\n                                    matter is converted from one type to another.
Although this conservation law holds true for all conversions of matter,\n                    convincing examples are few and far between because, outside of the controlled\n                    conditions in a laboratory, we seldom collect all of the material that is\n                    produced during a particular conversion. For example, when you eat, digest, and\n                    assimilate food, all of the matter in the original food is preserved. But\n                    because some of the matter is incorporated into your body, and much is excreted\n                    as various types of waste, it is challenging to verify by measurement.
Adapted from Openstax Chemistry under  Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",
Solids and Liquids,Phase Changes,Phase Changes,"When a liquid is heated the kinetic energy of its atoms, molecules, or ions\n                    increases. At some point the KE is great enough to overcome the forces holding\n                    the substance together in the liquid phase and the particles escape into the gas\n                    phase. This is called vaporization. If a gaseous substance is cooled, at some\n                    point, it will change into its liquid phase. This is known as condensation.
When we heat a crystalline solid, we increase the average energy of its atoms,\n                    molecules, or ions and the solid gets hotter. At some point, the added energy\n                    becomes large enough to partially overcome the forces holding the molecules or\n                    ions of the solid in their fixed positions, and the solid begins the process of\n                    transitioning to the liquid state, or melting. If we cool a liquid, the kinetic\n                    energy decreases. At some point, the IMFs will become greater than the KE and\n                    the substance will be held tightly together in a fixed position, which we call\n                    freezing.
Some solids can transition directly into the gaseous state, bypassing the liquid\n                    state, via a process known as sublimation. At room temperature and standard\n                    pressure, a piece of dry ice (solid CO2) sublimes, appearing to\n                    gradually disappear without ever forming any liquid. \n                    When solid iodine is warmed, the solid sublimes and a vivid purple vapor forms\n                    as seen in the image below. The reverse of sublimation is called deposition, a process in which\n                    gaseous substances condense directly into the solid state, bypassing the liquid\n                    state. The formation of frost is an example of deposition.
Adapted from Openstax Chemistry under  Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",Reference: The Periodic Table of Elements
Solids and Liquids,The Solid State of Matter,Crystalline vs. Amorphous Solids,"When most liquids are cooled, they eventually freeze and form crystalline solids, solids\n            in which the atoms, ions, or molecules are arranged in a definite repeating pattern. It\n            is also possible for a liquid to freeze before its molecules become arranged in an\n            orderly pattern. The resulting materials are called amorphous solids or noncrystalline\n            solids (or, sometimes, glasses). The particles of such solids lack an ordered internal\n            structure and are randomly arranged.
Metals and ionic compounds typically form ordered, crystalline solids. Substances that\n            consist of large molecules, or a mixture of molecules whose movements are more\n            restricted, often form amorphous solids. For examples, candle waxes are amorphous solids\n            composed of large hydrocarbon molecules. Some substances, such as silicon dioxide (shown\n            below), can form either crystalline or amorphous solids, depending on the conditions\n            under which it is produced. Also, amorphous solids may undergo a transition to the\n            crystalline state under appropriate conditions.
Adapted from Openstax Chemistry under  Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",Reference: The Periodic Table of Elements
Gases,Stoichiometry of Gases,Standard Temperature and Pressure (STP),"The study of the chemical behavior of gases was part of the basis of perhaps the most\n            fundamental chemical revolution in history. French nobleman Antoine Lavoisier, widely\n            regarded as the cfather of modern chemistry,d changed chemistry from a qualitative to a\n            quantitative science through his work with gases. He discovered the law of conservation\n            of matter, discovered the role of oxygen in combustion reactions, determined the\n            composition of air, explained respiration in terms of chemical reactions, and more. He\n            was a casualty of the French Revolution, guillotined in 1794. Of his death,\n            mathematician and astronomer Joseph-Louis Lagrange said, cIt took the mob only a moment\n            to remove his head; a century will not suffice to reproduce it.
As described in an earlier in this course, we can turn to chemical stoichiometry for\n            answers to many of the questions that ask cHow much?d We can answer the question with\n            masses of substances or volumes of solutions. However, we can also answer this question\n            another way: with volumes of gases. We can use the ideal gas equation to relate the\n            pressure, volume, temperature, and number of moles of a gas. Here we will combine the\n            ideal gas equation with other equations to find gas density and molar mass. We will deal\n            with mixtures of different gases, and calculate amounts of substances in reactions\n            involving gases. This section will not introduce any new material or ideas, but will\n            provide examples of applications and ways to integrate concepts we have already\n            discussed.
Footnote
1 cQuotations by Joseph-Louis Lagrange,d last modified February 2006, accessed February\n            10, 2015, http://www-history.mcs.st-andrews.ac.uk/Quotations/Lagrange.html
We have seen that the volume of a given quantity of gas and the number of\n                    molecules (moles) in a given volume of gas vary with changes in pressure and\n                    temperature. Chemists sometimes make comparisons against a standard temperature\n                        and pressure (STP)standard temperature\n                            and pressure (STP) for reporting properties of gases: 273.15 K and 1 atm\n                    (101.325 kPa). At STP, 1 mole of an ideal gas has a volume of about 22.4 Lthis is\n                    referred to as the standard molar volumevolume of 1 mole of gas at STP, approximately 22.4 L for gases behaving ideally.
standard temperature\n                            and pressure (STP)
volume of 1 mole of gas at STP, approximately 22.4 L for gases behaving ideally
One mole of any gas at STP has a volume of 22.4 L.
*Note that this relationship ONLY applies when the gas is at STP.
We can calculate the molar volume of a gas by using the ideal gas law.
What is the volume of 1.00 mol of He at a pressure of 1.00 atm and 273.15\n                        K?
$$\\require{cancel} V = \\frac{(1.00 \\cancel{\\mathrm{mol}})(0.08206\n                            \\cancel{\\mathrm{atm}}\\ \\mathrm{L}\\ \\cancel{\\mathrm{mol^{-1}}}\\\n                            \\cancel{\\mathrm{K^{-1}}})(273.15 \\cancel{\\mathrm{K}})}{1.00\n                            \\cancel{\\mathrm{atm}}} = 22.4 \\mathrm{L}$$
Recognize that the answer in the above example would have been the same\n                    regardless of the type of gas identified in the problem. 1 mole of ANY gas at\n                    STP has a volume of This provides a simple conversion factor to use in\n                    situations when gases are at STP.
A 4.9 g sample of methane, CH4, gas is at standard temperature and\n                        pressure. What volume does the sample occupy?
Notice here that the amount of gas is given in grams. We will need to convert\n                        from grams to moles and then use the relationship between moles and volume\n                        of gas at STP to convert to volume.
$$\\mathrm{g} \\rightarrow \\mathrm{mol} \\rightarrow\n                            \\mathrm{L}$$
$$4.9 \\mathrm{\\cancel{g\\ CH_4}} \\times \\frac{1 \\cancel{\\mathrm{mol\\\n                            CH_4}}}{16.05 \\cancel{\\mathrm{g\\ CH_4}}} \\times \\frac{22.4 \\mathrm{L\\\n                            CH_4}}{1 \\cancel{\\mathrm{mol\\ CH_4}}} = 6.84 \\mathrm{L}$$
The molar volume of a gas can also be applied to more complex stoichiometry\n                    problems involving reactions. We can add volume of gases to our stoichiometry\n                    flowchart that we saw earlier.
Most metals react with acid to produce hydrogen gas. Zinc reacts with\n                        hydrochloric acid according to the reactions below.
5.8 g of zinc is reacted with an excess amount hydrochloric acid. The hydrogen\n                        gas produced is collected at STP. What is the volume of the hydrogen\n                        gas?
We will use the following steps to solve this problem according to our\n                        flowchart above:
$$\\mathrm\n                            g\\;\\mathrm{Zn}\\;\\rightarrow\\;\\mathrm{mol}\\;\\mathrm{Zn}\\;\\rightarrow\\;\\mathrm{mol}\\;{\\mathrm\n                            H}_2\\;\\rightarrow\\;\\mathrm L\\;{\\mathrm H}_2$$
$$\\require{cancel}5.8\\;\\cancel{\\mathrm\n                            g\\;\\mathrm{Zn}}\\;\\times\\frac{\\;1\\;\\cancel{\\mathrm{mol}\\;\\mathrm{Zn}}}{65.39\\;\\cancel{\\mathrm\n                            g\\;\\mathrm{Zn}}}\\;\\times\\;\\frac{1\\;\\cancel{\\mathrm{mol}\\;{\\mathrm\n                            H}_2}}{1\\;\\cancel{\\mathrm{mol}\\;\\mathrm{Zn}}}\\;\\times\\;\\frac{22.4\\;\\mathrm\n                            L\\;{\\mathrm H}_2}{1\\;\\cancel{\\mathrm{mol}\\;{\\mathrm\n                            H}_2}}\\;=\\;2.0\\;\\mathrm L\\;{\\mathrm H}_2$$
Adapted from Openstax\n                        Chemistry under Creative Commons\n                        Attribution 4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",Reference: The Periodic Table of Elements
