,source,target,edge
1225,we,desired  heat,perform
1226,enthalpy,necessary  conversions,provides
1227,table,1  isooctane,gives
1228,combustion,"33,100  heat",produces
1229,it,218  ice,is enough
1230,spontaneous  that,external  source,is
1231,we,dissolution  process,stir
1232,topic,later chemical unit,is
1233,always energy heat,spontaneous  dissolution,occurs
1234,increase,disorder,results
1235,separated  solution,accompanying energy change,formed with
1236,solution,,called
1237,ideal  entities,intermolecular  attractions,experience
1238,gases,spontaneously  solution,mix due
1239,large  each,mixing,involves
1240,how  diffusion,spontaneous  solution,illustrates
1241,Three  types,dissolution  process,are relevant
1242,exothermic  process,solvation,viewed as
1243,dissolution energy process,overall  energy,determine
1244,energy,much  solvation,form
1245,cooking  oils,appreciable  solutions,mix to
1246,nonpolar hydrocarbon molecules,together dispersion forces,are
1247,Forming,large oil molecules,require
1248,little oil energy,solvation,released by
1249,other  mixture,solution,mix in
1250,so solvation process,solvent  molecules,are capable
1251,spontaneous solution formation,exothermic dissolution processes,favored
1252,indeed  some,indeed  heat,dissolve
1253,Ammonium  nitrate,cold  injuries,is
1254,walled plastic bag,solid  NH4NO3,sealed inside
1255,cold  that,cold  compress,solution of
1256,nonetheless  that,solution,require
1257,,4.0 Creative Commons License,Adapted from
1258,,,Download for free
1259,is,substance,introduced
1260,relation,state,applies
1261,reaches,kinetic phase energies,is
1262,temperature,state,remains constant
1263,,boiling,Consider
1264,initially  heat,waters temperature,serves
1265,boiling temperature,continued stove burner,remains constant
1266,long  it,water,maintained by
1267,instead  boiling,greater  rate,rise
1268,change,progress,remains constant
1269,constant  source,initial  oC.,shows
1270,resulting  graph,heating curve,known as
1271,much  heat,120 water C,required
1272,following  heat,previous c thermochemistry,see previous
1273,given  change,q  \xceH.,needed
1274,total  values,solid  72.0,Calculate
1275,,solid  ethanol,heat of solid
1276,,,ethanol
1277,\xceHfus,4.0 Creative Commons License,Adapted from
1278,,,Download for free
1279,Historically  energy,calories,measured in
1280,4.184 degree J,1 degree C,defined
1281,However  quantity,starting  water,depends on
1282,energy calorie,energy calories,meant
1283,Calorie,commonly food energy content,is
1284,1 jouleSI joule,1  second,cal
1285,when  force,1  meter,defined as
1286,It,English  physicist,named in
1287,m2  which,1  kg,is equivalent
1288,kilojoule,,is
1289,1  calorie,4.184  joules,set
1290,1  We,useful heat flow,kg
1291,1 degree that,heat,is
1292,extensive propertyits value,substance,is
1293,extensive  that,iron frying iron pans,consider
1294,same  mass,small  pan,is
1295,more  all,atoms,means more
1296,capacityintensive degree that,only substance heat,requires
1297,that,substance,is
1298,same  they,specific  construction,yield
1299,specific  heat,extensive  properties,Note
1300,other STEM STEM,science,is
1301,Chemistry,vital  biology,play vital
1302,basic  principles,such chemical physics,are essential
1303,us,generally chemical world,provide important
1304,complex  that,such  us,converge in
1305,Chemical engineering,useful chemical electronics,combine
1306,Agriculture,making worlds population,provide
1307,that,us,identify
1308,chemical  us,physical  world,incorporate many
1309,Chemical ideas,astronomy,used
1310,that,daily  life,are
1311,that,other credit products,are
1312,that,them,discover many
1313,you,matter,learning
1314,that,such  changes,happens
1315,Chemistry,matter,is
1316,,different Chemists domains,study
1317,domains,different chemical behavior,provide different
1318,everyday  that,human  sight,is
1319,you,face,includes
1320,where laboratory we,such  density,includes
1321,microscopic  domain,always  imagination,visited in
1322,also  aspects,magnified  graphite,are visible
1323,how  they,when  cold,are
1324,However  most,often  mind,small
1325,microscopic chemical which,microscopic  ions,include
1326,nutrient  that,atoms,created
1327,symbolic  domain,macroscopic  domains,contains
1328,symbolic chemical graphs,symbolic chemical domain,are
1329,We,symbolic  domain,consider
1330,important  they,microscopic  domain,play
1331,that,domain,recognizing
1332,helpful  way,essential  water,is via
1333,water,higher  temperatures,freeze
1334,we,naked  eye,fall
1335,description,microscopic oxygen arena,is within
1336,which,symbolic  domain,is
1337,abbreviations,solid  liquid,are
1338,,4.0 Creative Commons License,Adapted from
1339,,,Download for free
1340,constituent atoms,ionic  bonds,are
1341,ionic  bonds,two  atoms,differ from covalent
1342,that,periodic electronegativity group,observed between
1343,low electronegativity atom,high electronegativity atom,gives
1344,,charged  cation,results in
1345,atoms electronegativity,noble  gases,see
1346,that,ionic  compound,is
1347,charged  that,ionic Coulombs law,governed by
1348,crystal q1,positive  ions,is
1349,we,same lattice formula,Note
1350,Lattice energy,attractive  forces,is
1351,Substances,attractive lattice forces,have stronger
1352,ionic boiling those,higher boiling points,have higher
1353,charged  electrons,other  ion,increases
1354,therefore boiling points,ions,decrease
1355,below  which,boiling RbI,see
1356,which,charged  particles,incorporates
1357,ionic lattice energy increases,attractive boiling compound,increase
1358,NaF,1.18,have
1359,boiling points,likewise  value,expect
1360,However boiling point,2850  1695,is
1361,NaF,+1,is due
1362,also  magnitude,significant boiling ions,is
1363,illustration,select  elements,shows atomic
1364,,4.0 Creative Commons License,Adapted from
1365,,,Download for free
1366,samples,same  mass,knew of
1367,constant  samples,constant  composition,contain
1368,numbers,same  observations,is consistent
1369,octane rating they,carbon mass table,found
1370,same mass converse,same mass ratio,is worth
1371,that,same mass ratio,are
1372,other  that,mass  5.33:1.00,are many
1373,Dalton,interesting  law,used
1374,fixed  mass,whole  numbers,proportionswhen
1375,brown g crystalline,g g copper,form
1376,we,possibly  result,obtain
1377,brown  compound,green compound,means
1378,2 chlorine ratio,1 chlorine atom,explained by atomic
1379,thus chlorine ratio,therefore  1,is
1380,sample,14.13 g carbon,analyzed
1381,noticeable compound that,19.91 g carbon,analyzed
1382,data,multiple  proportions,Are
1383,data,substances X,tell
1384,whole number ratio,multiple  proportions,is
1385,X,,means
1386,,4.0 Creative Commons License,Adapted from
1387,,,Download for free
1388,Lewis that,molecules,use
1389,two valence that,shared covalent atoms,indicates
1390,single bond pair,two  atoms,called
1391,Cl atom,single valence bond,interacts with
1392,single  pair,lone chlorine atom,bond in
1393,halogen atom,noble gas electron configuration,allows
1394,tendency,1st octet rule,known as
1395,eight valence this,periodic  table,is
1396,atom,more  octet,has
1397,four  electrons,here carbon SiH4,gained by
1398,two valence which,two valence shell,needs
1399,one valence it,noble gas helium,has
1400,15  elements,atomic Lewis symbol,have
1401,atoms,NH3 covalent ammonia,form
1402,Oxygen,two covalent bonds,obtain
1403,Fluorine,one covalent bond,obtain
1404,one  we,this,call
1405,However  pair,requisite  octet,need
1406,three cyanide pairs,4.0 Creative Commons License,bond in
1407,,,Download for free
1408,Small  distortions,various electron density,result from
1409,bond that,lone electron pair electrons,observe
1410,separate Molecular Shapes,Real Molecules,click
1411,,Name Molecule Geometry,check
1412,,section check Bond Angles,In
1413,,appropriate  information,Choose
1414,bond,bit,have
1415,,Options Show Lone section,Observe
1416,attached,three hydrogen base,arranged in
1417,ideal bond angles,tetrahedral electron pair geometry,based on
1418,lone  pairs,larger  electrons,are
1419,pair pair repulsion,pair bonding pair repulsion,are
1420,Small  distortions,various electron density,result from
1421,VSEPR theory,different electron pairs,predicts
1422,lone pair bonding order,different  electrons,is
1423,triple  electrons,double  bond,occupy more
1424,single Consider which,biological  specimens,is
1425,high electron that,single  bonds,has
1426,larger  angle,single  bonds,is trigonal
1427,you,content,table below
1428,It,here  reference,included
1429,Xs,three electron pair table,are
1430,lone molecules,positions,matter
1431,three  positions,molecule,are
1432,equatorial bond position,120 bond angles,surrounded by
1433,spacious  positions,lone  pairs,occupy equatorial
1434,Theoretically  we,lone ClF3 molecule,come
1435,that,molecular equatorial structure,is
1436,four bonding we,octahedral electron pair geometry,have
1437,molecular  that,pair lone pair repulsions,are on opposite
1438,,4.0 Creative Commons License,Adapted from
1439,,,Download for free
1440,atmospheric  theforce,barometer,measure atmospheric
1441,glass that,then  thatliquid,is
1442,liquid exerts pressure,inside  tube,exerts
1443,height,therefore  atmosphere,is
1444,high  which,making,support
1445,mercury barometer,suitable water size,needs
1446,"101,325 columnof that","101,325 columnof mercury",corresponds to
1447,,,high
1448,similar  that,acontainer,is
1449,one  that,gas,is
1450,,container andthe atmosphere,distance between
1451,,below  units,Calculate
1452,Atmospheric  pressure,,is determined
1453,Pgas Patm height,same  units,need
1454,final answer we,then  equation,convert
1455,where place both,significantfigure,rounded
1456,KMTqualitatively,various gas laws,showed
1457,theory,quantitative  individuallaws,applied in
1458,we,first gas sample,look at
1459,molecular speed distribution,vast widelyvarying molecules,are constant
1460,bulk Maxwell Boltzmann that,givenspeed,known as
1461,molecular speed distribution,oxygen K,shown
1462,few  molecules,very  speeds,move at
1463,rapidly  which,rapidly  maximum,drops
1464,400  root,square  /,Note
1465,m)and speed,= kg 2,given by
1466,large gas we,averages,use
1467,Where \ m,individual molecule kg,energy
1468,Where  M,molar  units,Assuming
1469,where = \ R,directly  equation,is
1470,,average temperature kineticenergy,Note
1471,gas,kinetic  energy,have
1472,appropriate  form,gas constant,is
1473,fewer distribution shifts,higher  speeds,combined
1474,lowerspeeds,that distribution left,have
1475,behavior,nitrogen gasbelow,illustrated for
1476,given  gases,same  molecules,have
1477,higher speed distribution,higher  velocities,have morehigh
1478,lower speed that,lower  velocities,have morelow
1479,,4.0 Creative Commons License,Adapted from
1480,,,Download for free
1481,Several  units,different solution applications,used
1482,molar  concentrations,temperature,vary
1483,When  concentration,different solvent solution,be different
1484,based concentration values,temperature,are
1485,such  units,previous  gases,are mole
1486,molar  they,colligative  module,vary with
1487,other ethylene that,corrosion,is
1488,,2 ethylene water,are
1489,mole fraction,then unit definition,computed by first
1490,mole fraction,identical dimensionless units,Notice
1491,we,kg,need
1492,,2.80 sodium chloride,Calculate
1493,Converting,two unit definitions,accomplished by first
1494,units,same  solute,have
1495,numerator,solutions mole fraction,is
1496,then  substituting,mole fraction,computed by
1497,sum,mole H2O,Note
1498,general  sum,always solution 1,equals
1499,,4.0 Creative Commons License,Adapted from
1500,,,Download for free
1501,accurately  we,electron,considered
1502,accurately  one,particles,determined
1503,accurately  we,time,determine
1504,we,what,summed
1505,It,simultaneously  particle,is
1506,equivalently momentum product,constant \\(\\mathitf=\\;\\frac 2,be
1507,precisely  we,simultaneous  object,allows
1508,uncertainty,macroscopic  baseball,have
1509,enough  uncertainty,such  electron,is small
1510,ultimate  what,science,imposes ultimate
1511,what,classical quantum mechanics,shown
1512,given  position,particle,are
1513,view,quantum  particles,implies
1514,just  measurements,precision,is
1515,that,system,introduce
1516,wave what,today Schrdinger equation,extended
1517,angular  quantization,underlying wave equation,was
1518,stationary  Schrdinger,Greek letter psi,viewed
1519,complex probability amplitudes,such  energy,are
1520,square,certain  space,describes
1521,wavefunctions,electrons atom,means
1522,general  form,Schrdinger equation,seen
1523,special  E,total  particle,is
1524,Schrdingers,quantum  mechanics,work
1525,,Creative Commons Attribution,Adapted from
1526,,,Download for free
1527,two  which,two  orbitals,affects
1528,such  they,two  nuclei,is possible
1529,when  orbitals,rather  angle,is greater
1530,overlap,two sigma bonds,produce
1531,is  line,overlap region,pass through
1532,Single  bonds,valence bond theory,described as
1533,covalent that,p  orbitals,is
1534,regions,opposite  axis,lie
1535,that,electron,is
1536,multiple  bonds,both  bonds,consist of
1537,double  N2,triple  bond,contains
1538,triple  bond,one  bond,consists of
1539,first  bond,one  location,be
1540,two  bonds,multiple  bond,be
1541,bonds,later  module,described in more
1542,double  bond,kJ bond mol,is
1543,Adding,kJ  mol,causes
1544,when  we,other  bonds,see
1545,individual  bond,two  atoms,is
1546,,orbital  bond,is
1547,Butadiene,synthetic  rubber,used
1548,,molecule,Identify
1549,,single CC bonds,are
1550,double  each,bond,are
1551,This,total  nine,gives
1552,,4.0 Creative Commons License,Adapted from
1553,,,Download for free
1554,moleamount,familiar amount pair,is
1555,It,bulk  matter,provides
1556,exactly  mole,fundamental  atoms,provides
1557,12  number,Italian scientist Amedeo Avogadro,defined
1558,constant,explicit cper mole,reported with
1559,1 amount mole,other  element,contains
1560,1  mole,6.022×1023  phosphorus,contains
1561,however  masses,individual  atoms,are different
1562,molar massmass,1  mole,is
1563,molar reference mass,atomic  amu,is
1564,molar  mass,same atomic mass,is
1565,numerically  they,respective  g,keep in
1566,18  it,more water molecules,contains more
1567,seven billion seven person,billion 100 molecules,receive more
1568,molar  mass,periodic  table,is
1569,molar  mass,same formula compound,is
1570,formula mass,NaCl,is
1571,58.44  number,NaCl units,is
1572,formula mass,water H2O,is
1573,18.02  number,one water water,is
1574,one  unit,molecular(covalent  molecule,Note
1575,one  unit,formula  unit,referred to
1576,,4.0 Creative Commons License,Adapted from
1577,,,Download for free
1578,generally  that,particles,classified according
1579,forces,bulk  solids,are
1580,following  sections,major crystalline solids,provide
1581,electrostatic  which,electrostatic  attractions,composed of positive
1582,ionic  crystals,high melting points,have high
1583,ionsin ionic ionsin attractions,molecular  compounds,are
1584,also  they,,tend
1585,when  ions,electricity,conduct
1586,simple  compounds,nonmetallic  element,are ionic
1587,such  iron,metal atoms,formed by
1588,structure,delocalized  electrons,described as
1589,metallic  that,bulk  properties,held
1590,All,thermal  conductivity,exhibit high
1591,Many,,are
1592,they,useful construction materials,shatter
1593,melting  points,metals,vary
1594,low transition metals differences,metallic  metals,reflect
1595,other  covalent,such silicon sandpaper,include
1596,Many  minerals,covalent bonds,have
1597,atoms,together covalent bonds,held
1598,solid covalent bonds,covalent network,broken
1599,relatively covalent network solids,typically  hardness,characterized by
1600,diamond,neutral table molecules,is
1601,strengths,widely melting crystals,vary
1602,symmetrical  molecules,low melting C,have weak
1603,Substances,higher  temperatures,have larger
1604,Molecular  solids,higher dipole temperatures,melt at
1605,Examples,ice melting point,include
1606,,4.0 Creative Commons License,Adapted from
1607,,,Download for free
1608,previous  amounts,known  stoichiometry,illustrate
1609,Directly  measuring,macroscopic  world,is
1610,we,measured  mass,requires
1611,mass,following antacid reaction,magnesium
1612,is  we,two chemical interest,derive
1613,additional  steps,case,provided
1614,where  you,given  reaction,is
1615,aqueous solution sodium,hydroxide  equation,forms
1616,excess M mass,precipitate,form
1617,is  we,two chemical interest,derive
1618,molar  mass,solution,provided
1619,it,moles,is
1620,we,molar conversion,is
1621,We,reaction,use
1622,molarity We,given moles NaOH,substitute
1623,we,dimensional  Cu(OH)2,set
1624,You,other chemical reaction,use
1625,,4.0 Creative Commons License,Adapted from
1626,,,Download for free
1627,Electromagnetic  energy,waves,travels through
1628,So understanding wave characteristics,electromagnetic  energy,is important
1629,periodic  that,one  another,is
1630,Common  examples,all  us,are
1631,sound lightning that,several  miles,causes
1632,matter,essentially  place,transferred through
1633,Waves,matter,restricted
1634,magnetic  both,travel,consist of
1635,waves,constant  c,travel through
1636,waves,Greek letter A,characterized by
1637,below  wavelength,consecutive SI system,is
1638,that,103 range picometers,observed
1639,specified SI time,seconds,measured in
1640,cycle,complete  wavelength,corresponds to
1641,s  hertz,second,is
1642,Common  multiples,unit,are
1643,below amplitude this,half  peaks,corresponds to
1644,which,sound,related to
1645,louder dimmer sounds,greater quieter sounds,have
1646,frequency,wave,is
1647,electromagnetic energy >,which,c\\;=\\;\\lambda\u
1648,inversely wavelength frequency,,decreases
1649,inverse  proportionality,figure,illustrated in
1650,figure,electromagnetic  radiation,shows
1651,visible  light,electromagnetic  spectrum,frequencies
1652,different  units,different  spectrum,used for
1653,visible  region,typically  nm,specified as
1654,yellow  that,\\(1\\;\\mathrm{nm}\\;=\\;1\^{-9}\\;\\mathrm  m\\,gives
1655,frequency,light,is
1656,we,589  meters,convert
1657,\equire{cancel}\u=\\left(\\frac{2.998\^8\\;\\cancel{\\mathrm m}\\mathrm s^{-1}}{589\\;\\cancel{\\mathrm{nm}}}\ight)\\left(\\frac{1\^9\\;\\cancel{\\mathrm{nm}}}{1\\;\\cancel{\\mathrm,Creative Commons Attribution,m}}\ight)\\;=\\;5.09\^{14}\\;\\mathrm
1658,,,Download for free
1659,molecular  we,unpaired constituent atoms,write
1660,here carbon which,dry cleaning solvent,is helpful
1661,oxygen which,Lewis OF2,Determine
1662,that,ant  bites,Determine
1663,,4.0 Creative Commons License,Adapted from
1664,,,Download for free
1665,internal  that,internal  structure,form amorphous
1666,main  types,crystalline solids,are ionic
1667,different crystalline they,them,are due
1668,so  they,gradually  temperatures,soften
1669,instructor,that,evaluate
1670,questions,material,be for
1671,self evaluation,also  class,shape
1672,responses,instructor,graded
1673,,4.0 Creative Commons License,Adapted from
1674,,,Download for free
1675,pleasant  that,soon  nose,been
1676,tremendous  they,different  desiredtarget,collide with othergaseous
1677,gaseous room molecule,collisionsper second,experience
1678,average  molecule,betweencollisions,is
1679,general meanfree path,gaseous  themolecule,be
1680,bywhich molecules,Figure,is
1681,net movement ofspecies,low concentration place,move
1682,closed  diffusion,throughout  depictedbelow,result in equal
1683,nettransfer,molecules,continue
1684,areaavailable gas particles,areaavailable increaseor diffusion,depends on several
1685,Note,inversely diffusion equation,is
1686,process,such gas vacuum(Figure,is
1687,however  ratios,rates,are
1688,porous  gases,small  walls,effusethrough
1689,lighter  gases,heavier  ones,pass through
1690,ThomasGraham,different Grahams law ofeffusion,studied
1691,effusion\\ of\\ \\frac{\\sqrt{\\mathscr{M}_\\mathrm{B}}}{\\sqrt{\\mathscr{M}_\\mathrm{A,effusion ofoxygen,means
1692,\\mathrm{g = \ Hydrogen,rapidly  oxygen,effuses
1693,how  determining,fromdetermining  rates,Heres
1694,It,tiny  hole,takes
1695,long  it,10 Ne toeffuse,take
1696,how rate it,mass,is important
1697,which,smaller Ne Xe,be larger
1698,how  comparing,unknown gas gas,demonstrates
1699,,rapidly gas CO2,effuses
1700,unknown  gas,,is
1701,you,reasonable  identity,make
1702,\\mathrm{g \\frac{\\mathrm{rate\\ gas,molar  mass,Solve
1703,,Commons Attribution 4.0License,Adapted from
1704,,,Download for free
1705,they,solution,discussed in
1706,substances,important  compounds,constitute
1707,that,ions,called
1708,then compound yields substance,strong  electrolyte,known as
1709,producing  it,producing  process,called
1710,Substances,aqueous  substance,identified as strong
1711,substance,charged  species,contain
1712,charged  entities,metallic  wires,is
1713,dissolved  conductivity,ion concentration increases,conduct
1714,Applying,light  circuit,permits
1715,Water,polar  ions,attracted to
1716,electrostatic  attraction,dipole,called
1717,attractions,ionic  water,play
1718,uniformly water molecules,electrostatic  them,ions in
1719,process,physical  dissociation,represents
1720,so  they,strong  electrolytes,classified as strong
1721,when  we,solid  water,Let
1722,negative chloride they,positive potassium ions,attract
1723,together  them,solvated  illustration,penetrate between individual
1724,hydrated dilute ions,disordered  solution,permits
1725,ionic  which,heat,is responsible
1726,crystal,ions,are
1727,Such,inorganic calcium bone,is
1728,one C. molecule,ions,is
1729,solute molecules,chemically  ions,find
1730,pure hydrogen chloride,covalent HCl molecules,is
1731,gas,ions,contains
1732,solution,hydrogen water,find
1733,forming  Solutions,such hydrogen ions,conduct
1734,i.e.  it,%  HCl,is
1735,that,weak  electrolytes,generate
1736,,4.0 Creative Commons License,Adapted from
1737,,,Download for free
1738,Standard  enthalpies,convenient  reactions,provide
1739,1 enthalpy mole,standard state conditions,is
1740,it,measurements,are
1741,enthalpy we,next Hesss law,determine
1742,standard  enthalpy,CO2(g,is
1743,standard  state,25  oxygen,is
1744,25 \xce o,25 nitrogen dioxide,is
1745,standard  enthalpy,1  product,is
1746,You,common Thermodynamic Properties,find
1747,formation reactions,such kJ acetylene,indicate
1748,standard  enthalpy,stable  zero,Note
1749,,endothermic  process,Ozone
1750,that,upper  atmosphere,is
1751,reactants,standard enthalpy states,determine
1752,Thus f o,298 \xce =,For
1753,which,kJ f mol,=
1754,standard  state,phosphorus,Note
1755,standard  state,Standard Thermodynamic Properties,determined from
1756,state,standard f element,is
1757,scientists,atomic  theory,made
1758,seminal  that,internal  atoms,came from
1759,experimental  evidence,scientific  method,discuss
1760,quite  it,most  work,is
1761,atoms,atoms,were
1762,they,,Were
1763,electrical  that,English ray tube,investigated
1764,,below cathode ray experiments,Review
1765,we,less one atom,particle with
1766,term celectrond,Irish physicist George celectric,particle
1767,more  information,coil dropd experiments,uncovered by American
1768,electrically  they,rays,created microscopic
1769,downward  progress,lower  apparatus,fell due
1770,appropriate field Millikan,individual  drops,was able
1771,10 C. value,given oil droplet,concluded
1772,C Thomsons it,simple  electron,required
1773,Dalton,subatomic  particlesthe,established
1774,However  the,positively  atom,understood
1775,negative  atoms,negative  it,proposed
1776,,4.0 Creative Commons License,Adapted from
1777,,,Download for free
1778,Previously  we,how Lewis molecules,discussed
1779,,valid  molecule,is
1780,than Lewis one,appropriate Lewis structure,use
1781,we,evenly  atoms,is
1782,when charge we,then Lewis structure,is
1783,formal Formal We,whole charge structure,calculate formal
1784,formal  sum,formal  ion,equal
1785,formal  charge,actual  molecule,remember
1786,useful bookkeeping it,actual  charges,indicate
1787,,carbon carbon monoxide,Calculate
1788,1/2 +1 sum,formal  charges,Note
1789,neutral  sum,formal  zero,equal
1790,,formal thiocyanate ion,Calculate
1791,2 Formal sum,formal  -1,Note
1792,polyatomic  sum,formal  ion,equal
1793,,Commons Attribution.0 License,Adapted from
1794,,,Download for free
1795,important  application,measured gas gas,is
1796,,below molar density,Review
1797,,slide show,Press
1798,molar  mass,=  \\frac{dRT}{P,pressure
1799,gas,760  torr,found
1800,molar  mass,,is
1801,gas,,is
1802,ideal K. we,atm,\\frac{dRT}{P
1803,You,760  torr,recall
1804,2.02  gas,,is
1805,equation,given  temperature,used
1806,,22 chlorine oC,Calculate
1807,We,= gas density,use
1808,we,necessary molar equation,calculate
1809,\\mathrm{g \\cancel{\\mathrm{K^{-1}}})(295 L,Creative Commons Attribution,=
1810,,,Download for free
1811,before temperature heat,temperature change,determine
1812,temperature change,cdelta Td,is
1813,positive  value,q,has
1814,negative Tfinal value,q,is lower
1815,much  water,much  heat,heated
1816,specific  heat,4.184 g J.,is
1817,64  that,85  C,need
1818,absorbed  heat,64 q =,is positive
1819,specific C. which,identity,absorbs
1820,unknown  metal,specific  aluminum,matches
1821,chemical  bonds,diatomic  molecules,is
1822,stable  we,detailed  model,require
1823,water we,two hydrogen atoms,let
1824,Oxygen,two 2p orbitals,has
1825,two OH bonds,1s hydrogen atoms,predict
1826,p  orbitals,other,be
1827,bond angle,,shows
1828,different water model,real water molecule,needed
1829,observed bond angles,1s oxygen atom,suggest
1830,mathematical  expression,isolated wave atom,contains
1831,mathematical  that,different  shapes,combine
1832,atomic wave we,atomic wave that,called
1833,that,,called hybrid
1834,valence orbitals,isolated oxygen atom,are
1835,hybrid  that,approximately  tetrahedron,consist of
1836,Consequently  overlap,tetrahedral bond angle,result in
1837,useful Valence bond theory,accurate hybridization predictions,include
1838,following  ideas,4.0 Creative Commons License,Adapted from
1839,,,Download for free
1840,ionic  that,ions,saw on
1841,phase changes,conditions,is
1842,gas them,liquids,cause
1843,This,intermolecular  forces,is due
1844,together covalent bonds,previously  course,discussed
1845,which,physical  substance,are
1846,diagram,molecular  forces,illustrates
1847,that,together bond molecule,are weak
1848,,17  kilojoules,overcome
1849,,more energy kilojoules,requires
1850,phase change,molecular  IMF(s,determined by
1851,relative  strengths,molecular melting point,have
1852,,videos,Watch
1853,attractive  energy,force,determine
1854,,4.0 Creative Commons License,Adapted from
1855,,,Download for free
1856,energy,them,act as
1857,kinetic  energy,atoms,stored in
1858,kinetic  energy,straight  atoms,be in
1859,amplitudes,motions,decrease
1860,total,kinetic energy energy,called
1861,energy,system,change
1862,system,interest,defined as
1863,surroundings,else  universe,defined as
1864,change,internal  equation,defined by
1865,when  system,surroundings,is negative
1866,when  system,surroundings,is positive
1867,Chemists,internal  energy,use
1868,vertical  axis,internal  energy,represents
1869,system,gains surroundings,Use
1870,final  E,final  surroundings,is negative
1871,final  E,final  surroundings,is positive
1872,when  surroundings,w  system,transferred into
1873,back  wire,it,absorbs
1874,internal  which,temperature,increase
1875,when  system,surroundings,transferred out
1876,w,equation,represented by
1877,this,perspective,use
1878,E process,E specifies,sign of
1879,process,surroundings,released
1880,process,surroundings,absorbed
1881,This,first  thermodynamics,is
1882,negative  work,system,shows
1883,one  it,one  another,Remember
1884,Therefore  decrease,internal  surroundings,accompanied by
1885,system,13  surroundings,absorbs
1886,process,E,Calculate
1887,therefore  value,q,is positive
1888,therefore  value,w,is negative
1889,therefore  process,system,is endothermic
1890,w. Internal state heat,w. Internal state function,represented as
1891,how  state,only state state,depends
1892,how  state,,depend on
1893,example,state function,is
1894,you,Mt.,stand on
1895,you,5895  m,are at
1896,you,Kilimanjaro,is
1897,You,circuitous  path,climb to
1898,altitude,,differ
1899,many chemical reactions,aqueous  media,stands
1900,chemical equations,intended  use,written with various
1901,,aqueous  solution,consider
1902,ionic  that,solution,called
1903,thorough  discussion,later  course,dissociate into
1904,ionic  AgCl,ionic state equation,representing
1905,two chemical species,identical  arrow,shows
1906,that,products equation,ions
1907,dissociated  ions,such  equation,written such
1908,that,products equation,ion
1909,dissociated  ions,such  equation,written such
1910,silver  chloride,regardless  ions,written
1911,molecular,ionic  Cl,provide additional
1912,hydroxide mixture reacts,aqueous sodium carbonate,yield aqueous
1913,,ionic  process,Write balanced
1914,ionic  compounds,4.0 Creative Commons License,identify
1915,,,Download for free
1916,Ionic  radius,ion,is
1917,it,below aluminum atom,is smaller
1918,ionic analuminum radius,Al3+(1s22s22p6,is
1919,remaining core electrons,closer charge nucleus,removed fromthe
1920,Cations,79  V3,has
1921,principal quantum anion,one valence atom,formed by
1922,,Zeffper electron,results in
1923,effects,above sulfur atom,cause
1924,ionic covalent radius,sulfide anion,has
1925,consecutive  anions,larger principalquantum radii,have larger
1926,that,same  electronconfiguration,said
1927,Examples,isoelectronic  species,are
1928,isoelectronicseries,,is
1929,number,size,determines
1930,,4.0 Creative Commons License,charge
1931,,,Download for free
1932,Atoms,same  protons,are
1933,certain  atoms,certain  circumstances,charged
1934,ionAn that,typically  electrons,acquire
1935,that,negative  charge,exhibit
1936,,positively  ion,charged
1937,when  atom,one  electrons,formed
1938,neutral sodium atom,11  electrons,has
1939,one  it,+  charge,become
1940,two  it,2  charge,atom
1941,that,electrons,atom
1942,,,ion
1943,,,ion
1944,later  you,separate Creative Commons Attribution,click
1945,,,Download for free
1946,ionic  compound,positive  ions,is stable
1947,lattice energy,attraction,is
1948,\xceHlattice)energy,gaseous  ions,defined as
1949,so lattice energies,ions,be endothermic
1950,separate lattice ions,exothermic  values,use
1951,lattice definition,lattice reference,be certain
1952,larger  magnitude,ionic lattice compound,indicates
1953,,769 sodium kJ.,For
1954,Thus  it,Na+ Cl ions,requires
1955,769  kJ,heat,form solid
1956,Ro,positive  ions,are
1957,rapidly crystal charges,ions,decrease
1958,other  parameters,lattice energy,doubling
1959,kJ  Ro,200  compounds,is
1960,interatomic  distances,different lattice energies,produce different
1961,we,ionic lattice I.,compare
1962,rather lattice variations,ions,is
1963,Which,larger lattice energy,has
1964,difference,lattice .,are
1965,O2 ion,Se2  ion,is smaller
1966,interionic  Al2O3,larger lattice energy,have
1967,,4.0 Creative Commons License,Adapted from
1968,,,Download for free
1969,relative  amounts,stoichiometric chemical amounts,referred to
1970,exercises,stoichiometric  reactants,involved stoichiometric
1971,other  reactants,stoichiometric  amounts,assumed
1972,reactants,stoichiometric  amounts,considered
1973,Stoichiometric cheese amounts,2:1 cheese ratio,Consider
1974,11  one,six  bread,prepare
1975,bread slices,excess,limited by
1976,hydrogen,stoichiometric  ratio,shows
1977,thus  that,thus  product,consumed
1978,other reaction substance,greater reaction stoichiometry,is
1979,Identifying,balanced chemical equation,requires
1980,,2  Cl2,imagine
1981,3:2  which,stoichiometric  1:1,represents
1982,therefore  chlorine,therefore  excess,is present
1983,Reaction,1  hydrogen,consume
1984,reactant  present,complete reaction reactant,approach to
1985,separately  that,reactions stoichiometry,used
1986,reactant,lesser  product,limiting reactant
1987,4  moles,HCl,yield Complete
1988,unreacted  reaction,6  HCl,be unreacted
1989,Chlorine,,is
1990,you,limiting  reactants,explore
1991,then Limiting that,then Limiting activity,Follow
