,Unnamed: 0.1,Unnamed: 0,Unit,Module,Title,Subheaders,Paragraph,Question,predicted_label,human_eval,Information Score,Perplexity
73,200,200,Analytic Algorithms and Model Building,Supervised and Unsupersived Techniques,k-Nearest Neighbors Method,,"Although kNN is helpful for predicting a categorical response, it is also effective for predicting continuous value responses just like one would with a linear regression model. The main difference between predicting a categorical response and a continuous value is that the algorithm will use the average (usually weighted) response of the neighbors of the new data point to determine the accurate prediction. The weight will decrease as the distance increases from the data point at which the prediction is required. The best k for a classification task is assessed using the overall error rate but in this instance, the best k is determined using the root mean square (RMS) error.",The RMS is used to determine the best k for a classification task in which the classification task is performed by the person who performed the classification task?,1,0,1.1052631578947365,40.112091064453125
74,562,562,Analytic Algorithms and Model Building,Supervised and Unsupersived Techniques,Active Learning,"Thought: Informative data points equal a data point that your algorithm had difficulty classifying. Informative data points improve your algorithm's abilities (prediction and otherwise).,Query Strategies",Expected Model Change would use an approach that selects the observation that would introduce the most change to a current model if its label was known.,The model would use what type of model change?,0,0,0.0,489.65765380859375
75,549,549,Problem Identification and Solution Vision,Distilling the Analytic Objective,Step 5b: Framing Common Forms of Analytical Objectives,"Constructive,Benchmarking,Exploratory\r",To improve performance beyond the current model based on standard convolutional neural networks without language information\r (Valuable functionality),"To improve performance beyond the current model based on standard convolutional neural networks without language information\r (Valuable functionality) and without the need for language information, what is the goal of the current model?",1,0,0.0,66.1720962524414
76,51,51,Exploratory Data Analysis,Performing Exploratory Data Analysis,Data Wrangling,"Outliers,The z-score,Handling Missing Values,Imputation,Omission,Outliers,Transforming Categorical Data,Transforming Quantitative Data,Data Wrangling to Data Exploration",An exampleof a popular quantitative transformation is converting the date of birth to age.,"In addition to age, what else is a popular transformation?",1,0,0.6,208.15431213378903
77,686,686,Analytic Algorithms and Model Building,Text Data & Natural Language Processing,Common Language Processing Tasks,"1. Tokenization,2. Stop word removal,3. Morphological Analysis, Lemmatization,  Stemming,5. Part-of-Speech Tagging,6. Named Entity Recognition,7. Parsing","Morphologically complex languages have many other orthographical processes usually rooted in phonology, such as vowel harmony, consonant and vowel insertions or deletions, or duplications. Morphological analyzers would have to take all of these into account in order to analyze words.",What would have to be taken into account in order to analyze words?,1,1,0.0,36.09900665283203
78,487,487,Deep Learning and Model Deployment,Model Deployment,"[Additional Resource] Hands-on: Data Versioning + Code Versioning with DVC, GIT, and AWS\xc2\xa0S3","Why are traditional code versioning tools inefficient in tracking data?,Other advantages of Data Tracking efficiently help in:,Getting started with creating a repo and pushing code to Assembla and data to S3 (using DVC)",public (from government websites and open data),public (from government websites and open data) to open source software and open source software?,0,0,0.0,72.6928482055664
79,479,479,Collecting and Understanding Data,Data Structures and Algorithms,Data Structures,,What are the types of data items that are input to each operation?,What are the types of data items that are input to each operation?,1,1,0.0,37.25467300415039
80,611,611,Deep Learning and Model Deployment,Deep Learning & Computer Vision,Deep Learning Objective / Loss Functions,"Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages","Regression Problem: A problem where the model predicts a real value, the last layer in the model consists of a single node with a linear activation function, and the Mean Squared Error (MSE) can be used as a loss function.",The model is modeled after what?,0,0,0.0,203.07981872558597
81,189,189,Analytic Algorithms and Model Building,Text Data & Natural Language Processing,Converting Text Data into Numerical Features,"1. Bag-of-Words,2. Term-Frequency,3. Term-Frequency: Inverse-Document Frequency,4. Word Embeddings",Jack,"Jack, the leader of the Free World, was a leader of what?",1,0,0.0,24.36885070800781
82,270,270,Analytic Algorithms and Model Building,Supervised and Unsupersived Techniques,Ranking,,LambdaMART uses Multiple Additive Regression Trees (MART is an implementation of the gradient tree boosting methods for regression and classification) and LambdaRank to solve a ranking task.,LambdaRank is an implementation of what?,0,1,0.0,196.81002807617188
83,526,526,Analytic Algorithms and Model Building,Text Data & Natural Language Processing,Levels of Representation in Natural Language Processing,"Phonetic and Phonological Representations,Morphological Representation,Lexeme Representation,Syntactic Representation,Semantic Representation,Pragmatics,Discourse,Representation in Neural Models",I found to fly to Tokyo,"I found to fly to Tokyo in the summer of 2008, where I flew to see what was happening?",0,0,0.0625,43.9224853515625
84,417,417,Data Science Project Planning,Requirements Gathering,Module 5 Summary,,"There are different types of requirements including business and solution requirements. Business requirements describe the cwhyd behind the implementation of a solution, while the user requirements describe the tasks that users will be able to perform with the system, and the solution requirements specify the behavior of the system and its characteristics.","Business requirements describe the cwhyd behind the implementation of a solution, while the user requirements describe what?",1,0,0.3846153846153846,313.32574462890625
85,88,88,Collecting and Understanding Data,Data Collection,Validity and Bias,,Diffusion of treatments (also called cross-contamination of groups),Diffusion of treatments (also called cross-contamination of groups) is a term used to describe what happens when a treatment is combined with a treatment?,1,0,0.15,21.78841590881348
86,62,62,Analytic Algorithms and Model Building,Supervised and Unsupersived Techniques,Regression,Model Accuracy,"This regression technique is used to model the relationship between independent variable x and dependent variable y. When you have two or more independent variables, you will represent them as the vector \\(x=(X_{1t} \\ldots X_{kt})\\), and k is the number of inputs. The model is said to be linear because the output is expected to be a linear combination of independent variables.",The model is said to be linear because the output is expected to be what?,0,0,0.0,76.87177276611328
87,388,388,Problem Identification and Solution Vision,Distilling the Analytic Objective,Step 4b: Proposing Data Collection Methods,Proposing Datasets & Collection Methods,"Well-studied benchmark datasets are available to the data science community for many tasks. While prior work on a dataset is a good indicator of its utility for a task, it cannot replace the process of familiarizing yourself with the data before commencing serious experimentation work. It is good practice to investigate the suitability of the proposed dataset for the task and method before moving on with the project unless the exploration of the dataset itself is understood as part of the analytic goal. This is typically done through research and preliminary data surveys, possibly in collaboration with domain experts.",The goal of a well-studied dataset is to be able to be used for what?,1,0,1.538461538461538,31.173511505126957
88,49,49,Exploratory Data Analysis,Performing Exploratory Data Analysis,Data Wrangling,"Outliers,The z-score,Handling Missing Values,Imputation,Omission,Outliers,Transforming Categorical Data,Transforming Quantitative Data,Data Wrangling to Data Exploration","Omission is often the go-to technique when there are missing values. Omission involves excluding the missing values from the dataset. Remember, you will suffer a loss of data if you exclude values instead of finding other missing value-handling techniques. Omission can be done when the number of missing values is small.","For example, if the missing values are small, what can you do to mitigate the loss of data?",1,1,0.0,22.64656639099121
89,345,345,Collecting and Understanding Data,Sparse Matrix,Types of Sparse Matrices,"Natural Language Processing,Recommender Systems,Sparse Modeling","The CSC format behaves similarly to CSR, but with the columns being compressed instead of the rows, but in a very similar format. Its underlying representation consists of three lists:",The columns are compressed in a similar manner to what?,0,0,0.4,111.64278411865234
90,631,631,Deep Learning and Model Deployment,Deep Learning & Computer Vision,Deep Learning Objective / Loss Functions,"Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages",Rapid convergence,"Rapid convergence is a term that refers to the convergence of two or more things at once, in which case the convergence is called what?",1,0,0.0476190476190476,16.07095718383789
91,565,565,Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Statistical Inference,"Sampling Distribution,Random Sampling,I,I.D.,Standard Error,Confidence Interval,168.8cm to 181.2cm,Degrees of Freedom","Suppose a student decides to record her commuting times on various days. She selects these days at random from the school year, and her daily commuting time has the cumulative distribution function in Figure 1.",The curve is in the form of a curve with a line that points to where the student is going to go to where?,0,0,0.2941176470588235,30.4626407623291
92,96,96,Collecting and Understanding Data,Data Collection,Validity and Bias,,"The instrument changes between a pre-test and post-test, thus impacting the results of the outcome.",The pre-test is a test of what?,0,0,0.2857142857142857,55.76642990112305
93,510,510,Deep Learning and Model Deployment,Model Deployment,"The Three Environments for AI Professionals - Research, Development, and Production","Research Environment:,Development Environment:,Some best practices while packaging the code:,Production Environment:,Some of the tasks performed in the production environment are:,Conclusion:","Unlike traditional software engineering where only changes in code are tracked (code versioning), data used for training, testing, and evaluation can also be tracked (data versioning) especially if data is large and dynamic. DVC, Delta Lake, and LakeFS are some open-source data versioning tools.","DVC, Delta Lake, and LakeFS are examples of what kind of data versioning?",1,1,0.0,287.3000793457031
94,563,563,Analytic Algorithms and Model Building,Supervised and Unsupersived Techniques,Active Learning,"Thought: Informative data points equal a data point that your algorithm had difficulty classifying. Informative data points improve your algorithm's abilities (prediction and otherwise).,Query Strategies",Expected Error Change involves labeling the data points that would reduce the model's out-of-sample error (a measure of how accurately your learner can make predictions on new data).,The model is called what?,0,0,0.0,206.36846923828125
95,669,669,Exploratory Data Analysis,Feature Engineering,Principal Component Analysis,"Dimensionality,Feature Extraction","Principal Component Analysis (PCA) is used to reduce the dimensionality of a dataset. You might be asking yourself why we would reduce a dataset when we have talked about the importance of more data for better interpretation and solid performance from models. When you have a dataset with a large number of variables, you have to assess the relationship between those variables, identify variables that might violate the assumptions of your chosen ML model, and generally select the variables that are useful to your task. With PCA, you will be reducing the dimension of your feature space to remove any redundancies or irrelevant features.",What is the purpose of PCA?,1,1,0.0,38.73583984375
96,674,674,Data Science Project Planning,Requirements Gathering,Framing Analytic Requirements,"Data Requirements,Model Requirements",How can data be used to meet the business and analytic objectives?,How can data be used to meet the business and analytic objectives?,1,1,0.0,115.69606018066406
97,395,395,Problem Identification and Solution Vision,Distilling the Analytic Objective,Step 4b: Proposing Data Collection Methods,Proposing Datasets & Collection Methods,How should the annotation task be designed to ensure productive and correct annotation? How will agreement between annotators be measured?,How should the annotation task be designed to ensure productive and correct annotation? How will agreement between annotators be measured?,1,1,0.0,87.75947570800781
98,147,147,Collecting and Understanding Data,Data Collection,Where do data come from?,,"Data collected from a designed study as the name suggests derives data from specific studies designed to address particular research topics. The main difference between this type of data and organic data is that data collected from a designed study are collected based on a certain guided agenda by theory, prior knowledge, literature, etc., in order to test particular hypotheses or to attempt to answer predetermined research questions.",Organic data is collected from what type of study?,1,1,0.0,166.84510803222656
99,24,24,Deep Learning and Model Deployment,Deep Learning & Computer Vision,Computer Vision Architectures,"LeNet,AlexNet,VGGNet,ResNet,The Current State of CNN research",Figure 14. ResNet-18 architecture.,ResNet-18 architecture is a type of architecture that is based on what type of architecture?,1,0,0.0909090909090909,116.07894897460938
